mode,stage,reward_type,reward_amount,wave_reward_multiplier,star1_reward_type,star1_reward_amount,star2_reward_type,star2_reward_amount,star3_reward_type,star3_reward_amount,patrol_gold_per_min,patrol_exp_per_min,patrol_shard_per_min
Boss,29,"player_exp,enchantment_shard_blue","1900,585",,,,,,,,,,
Boss,30,"player_exp,enchantment_shard_blue","1950,600",,,,,,,,,,
Monster,1,"player_exp,enchantment_shard_green","500,165",,,,,,,,,,
Monster,2,"player_exp,enchantment_shard_green","550,180",,,,,,,,,,
Monster,3,"player_exp,enchantment_shard_green","600,195",,,,,,,,,,
Monster,4,"player_exp,enchantment_shard_green","650,210",,,,,,,,,,
Monster,5,"player_exp,enchantment_shard_green","700,225",,,,,,,,,,
Monster,6,"player_exp,enchantment_shard_green","750,240",,,,,,,,,,
Monster,7,"player_exp,enchantment_shard_green","800,255",,,,,,,,,,
Monster,8,"player_exp,enchantment_shard_green","850,270",,,,,,,,,,
Monster,9,"player_exp,enchantment_shard_green","900,285",,,,,,,,,,
Monster,10,"player_exp,enchantment_shard_green","950,300",,,,,,,,,,
Monster,11,"player_exp,enchantment_shard_green","1000,315",,,,,,,,,,
Monster,12,"player_exp,enchantment_shard_green","1050,330",,,,,,,,,,
Monster,13,"player_exp,enchantment_shard_green","1100,345",,,,,,,,,,
Monster,14,"player_exp,enchantment_shard_green","1150,360",,,,,,,,,,
Monster,15,"player_exp,enchantment_shard_green","1200,375",,,,,,,,,,
Monster,16,"player_exp,enchantment_shard_green","1250,390",,,,,,,,,,
Monster,17,"player_exp,enchantment_shard_green","1300,405",,,,,,,,,,
Monster,18,"player_exp,enchantment_shard_green","1350,420",,,,,,,,,,
Monster,19,"player_exp,enchantment_shard_green","1400,435",,,,,,,,,,
Monster,20,"player_exp,enchantment_shard_green","1450,450",,,,,,,,,,
Monster,21,"player_exp,enchantment_shard_green","1500,465",,,,,,,,,,
Monster,22,"player_exp,enchantment_shard_green","1550,480",,,,,,,,,,
Monster,23,"player_exp,enchantment_shard_green","1600,495",,,,,,,,,,
Monster,24,"player_exp,enchantment_shard_green","1650,510",,,,,,,,,,
Monster,25,"player_exp,enchantment_shard_green","1700,525",,,,,,,,,,
Monster,26,"player_exp,enchantment_shard_green","1750,540",,,,,,,,,,
Monster,27,"player_exp,enchantment_shard_green","1800,555",,,,,,,,,,
Monster,28,"player_exp,enchantment_shard_green","1850,570",,,,,,,,,,
Monster,29,"player_exp,enchantment_shard_green","1900,585",,,,,,,,,,
Monster,30,"player_exp,enchantment_shard_green","1950,600",,,,,,,,,,
Speed,1,"player_exp,enchantment_shard_red","500,165",,,,,,,,,,
Speed,2,"player_exp,enchantment_shard_red","550,180",,,,,,,,,,
Speed,3,"player_exp,enchantment_shard_red","600,195",,,,,,,,,,
Speed,4,"player_exp,enchantment_shard_red","650,210",,,,,,,,,,
Speed,5,"player_exp,enchantment_shard_red","700,225",,,,,,,,,,
Speed,6,"player_exp,enchantment_shard_red","750,240",,,,,,,,,,
Speed,7,"player_exp,enchantment_shard_red","800,255",,,,,,,,,,
Speed,8,"player_exp,enchantment_shard_red","850,270",,,,,,,,,,
Speed,9,"player_exp,enchantment_shard_red","900,285",,,,,,,,,,
Speed,10,"player_exp,enchantment_shard_red","950,300",,,,,,,,,,
Speed,11,"player_exp,enchantment_shard_red","1000,315",,,,,,,,,,
Speed,12,"player_exp,enchantment_shard_red","1050,330",,,,,,,,,,
Speed,13,"player_exp,enchantment_shard_red","1100,345",,,,,,,,,,
Speed,14,"player_exp,enchantment_shard_red","1150,360",,,,,,,,,,
Speed,15,"player_exp,enchantment_shard_red","1200,375",,,,,,,,,,
Speed,16,"player_exp,enchantment_shard_red","1250,390",,,,,,,,,,
Speed,17,"player_exp,enchantment_shard_red","1300,405",,,,,,,,,,
Speed,18,"player_exp,enchantment_shard_red","1350,420",,,,,,,,,,
Speed,19,"player_exp,enchantment_shard_red","1400,435",,,,,,,,,,
Speed,20,"player_exp,enchantment_shard_red","1450,450",,,,,,,,,,
Speed,21,"player_exp,enchantment_shard_red","1500,465",,,,,,,,,,
Speed,22,"player_exp,enchantment_shard_red","1550,480",,,,,,,,,,
Speed,23,"player_exp,enchantment_shard_red","1600,495",,,,,,,,,,
Speed,24,"player_exp,enchantment_shard_red","1650,510",,,,,,,,,,
Speed,25,"player_exp,enchantment_shard_red","1700,525",,,,,,,,,,
Speed,26,"player_exp,enchantment_shard_red","1750,540",,,,,,,,,,
Speed,27,"player_exp,enchantment_shard_red","1800,555",,,,,,,,,,
Speed,28,"player_exp,enchantment_shard_red","1850,570",,,,,,,,,,
Speed,29,"player_exp,enchantment_shard_red","1900,585",,,,,,,,,,
Speed,30,"player_exp,enchantment_shard_red","1950,600",,,,,,,,,,
Normal,1,,,1,gem,100,gem,100,gem,200,0.83,0.083,0.02
Normal,2,,,1,gem,100,gem,100,gem,200,1.67,0.17,0.04
Normal,3,,,1,gem,100,gem,100,gem,200,2.5,0.25,0.06
Normal,4,,,1,gem,100,gem,100,gem,200,3.33,0.33,0.08
Normal,5,,,1,gem,100,gem,100,gem,200,4.17,0.42,0.1
Normal,6,,,1,gem,100,gem,100,gem,200,5,0.5,0.12
Normal,7,,,1,gem,100,gem,100,gem,200,5.83,0.58,0.14
Normal,8,,,1,gem,100,gem,100,gem,200,6.67,0.67,0.16
Normal,9,,,1,gem,100,gem,100,gem,200,7.5,0.75,0.18
Normal,10,,,1,gem,100,gem,100,gem,200,8.33,0.83,0.2
Normal,11,,,1,gem,100,gem,100,gem,200,9.17,0.92,0.22
Normal,12,,,1,gem,100,gem,100,gem,200,10,1,0.24
Normal,13,,,1,gem,100,gem,100,gem,200,10.83,1.08,0.26
Normal,14,,,1,gem,100,gem,100,gem,200,11.67,1.17,0.28
Normal,15,,,1,gem,100,gem,100,gem,200,12.5,1.25,0.3
Normal,16,,,1,gem,100,gem,100,gem,200,13.33,1.33,0.32
Normal,17,,,1,gem,100,gem,100,gem,200,14.17,1.42,0.34
Normal,18,,,1,gem,100,gem,100,gem,200,15,1.5,0.36
Normal,19,,,1,gem,100,gem,100,gem,200,15.83,1.58,0.38
Normal,20,,,1,gem,100,gem,100,gem,200,16.67,1.67,0.4
Normal,21,,,1,gem,100,gem,100,gem,200,17.5,1.75,0.42
Normal,22,,,1,gem,100,gem,100,gem,200,18.33,1.83,0.44
Normal,23,,,1,gem,100,gem,100,gem,200,19.17,1.92,0.46
Normal,24,,,1,gem,100,gem,100,gem,200,20,2,0.48
Normal,25,,,1,gem,100,gem,100,gem,200,20.83,2.08,0.5
Normal,26,,,1,gem,100,gem,100,gem,200,21.67,2.17,0.52
Normal,27,,,1,gem,100,gem,100,gem,200,22.5,2.25,0.54
Normal,28,,,1,gem,100,gem,100,gem,200,23.33,2.33,0.56
Normal,29,,,1,gem,100,gem,100,gem,200,24.17,2.42,0.58
Normal,30,,,1,gem,100,gem,100,gem,200,25,2.5,0.6
Hard,1,,,1,gem,100,gem,100,gem,200,1.67,0.17,0.04
Hard,2,,,1,gem,100,gem,100,gem,200,3.33,0.33,0.08
Hard,3,,,1,gem,100,gem,100,gem,200,5,0.5,0.12
Hard,4,,,1,gem,100,gem,100,gem,200,6.67,0.67,0.16
Hard,5,,,1,gem,100,gem,100,gem,200,8.33,0.83,0.2
Hard,6,,,1,gem,100,gem,100,gem,200,10,1,0.24
Hard,7,,,1,gem,100,gem,100,gem,200,11.67,1.17,0.28
Hard,8,,,1,gem,100,gem,100,gem,200,13.33,1.33,0.32
Hard,9,,,1,gem,100,gem,100,gem,200,15,1.5,0.36
Hard,10,,,1,gem,100,gem,100,gem,200,16.67,1.67,0.4
Hard,11,,,1,gem,100,gem,100,gem,200,18.33,1.83,0.44
Hard,12,,,1,gem,100,gem,100,gem,200,20,2,0.48
Hard,13,,,1,gem,100,gem,100,gem,200,21.67,2.17,0.52
Hard,14,,,1,gem,100,gem,100,gem,200,23.33,2.33,0.56
Hard,15,,,1,gem,100,gem,100,gem,200,25,2.5,0.6
Hard,16,,,1,gem,100,gem,100,gem,200,26.67,2.67,0.64
Hard,17,,,1,gem,100,gem,100,gem,200,28.33,2.83,0.68
Hard,18,,,1,gem,100,gem,100,gem,200,30,3,0.72
Hard,19,,,1,gem,100,gem,100,gem,200,31.67,3.17,0.76
Hard,20,,,1,gem,100,gem,100,gem,200,33.33,3.33,0.8
Hard,21,,,1,gem,100,gem,100,gem,200,35,3.5,0.84
Hard,22,,,1,gem,100,gem,100,gem,200,36.67,3.67,0.88
Hard,23,,,1,gem,100,gem,100,gem,200,38.33,3.83,0.92
Hard,24,,,1,gem,100,gem,100,gem,200,40,4,0.96
Hard,25,,,1,gem,100,gem,100,gem,200,41.67,4.17,1
Hard,26,,,1,gem,100,gem,100,gem,200,43.33,4.33,1.04
Hard,27,,,1,gem,100,gem,100,gem,200,45,4.5,1.08
Hard,28,,,1,gem,100,gem,100,gem,200,46.67,4.67,1.12
Hard,29,,,1,gem,100,gem,100,gem,200,48.33,4.83,1.16
Hard,30,,,1,gem,100,gem,100,gem,200,50,5,1.2
