null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier,sub_wave
null,Normal,2,5,ZombieMan,5,SCATTER,1.98,1.98,1
null,Normal,2,5,ZombieMan,8,SCATTER,1.98,1.98,2
null,Normal,2,5,ZzangDoleZombie,1,LINE_LEFT,1.98,1.98,1
null,Normal,2,5,ZzangDoleZombie,1,LINE_LEFT,1.98,1.98,2
null,Normal,2,5,ZombieBoss,1,LINE_LEFT,1.98,1.98,2
null,Normal,2,6,ZombieMan,7,SCATTER,2.3,2.3,1
null,Normal,2,6,ZombieMan,11,SCATTER,2.3,2.3,2
null,Normal,2,6,ZzangDoleZombie,1,LINE_LEFT,2.3,2.3,1
null,Normal,2,6,ZzangDoleZombie,1,LINE_LEFT,2.3,2.3,2
null,Normal,2,7,ZombieMan,8,SCATTER,2.62,2.62,1
null,Normal,2,7,ZombieMan,11,SCATTER,2.62,2.62,2
null,Normal,2,7,ZzangDoleZombie,1,LINE_LEFT,2.62,2.62,1
null,Normal,2,7,ZzangDoleZombie,2,LINE_LEFT,2.62,2.62,2
null,Normal,2,8,ZombieMan,8,SCATTER,2.95,2.95,1
null,Normal,2,8,ZombieMan,12,SCATTER,2.95,2.95,2
null,Normal,2,8,ZzangDoleZombie,1,LINE_LEFT,2.95,2.95,1
null,Normal,2,8,ZzangDoleZombie,2,LINE_LEFT,2.95,2.95,2
null,Normal,2,9,ZombieMan,7,SCATTER,3.27,3.27,1
null,Normal,2,9,ZombieMan,11,SCATTER,3.27,3.27,2
null,Normal,2,9,ZzangDoleZombie,2,LINE_LEFT,3.27,3.27,1
null,Normal,2,9,ZzangDoleZombie,2,LINE_LEFT,3.27,3.27,2
null,Normal,2,9,RushZombie,1,SCATTER,3.27,3.27,1
null,Normal,2,9,RushZombie,1,SCATTER,3.27,3.27,2
null,Normal,2,10,ZombieMan,6,SCATTER,3.6,3.6,1
null,Normal,2,10,ZombieMan,9,SCATTER,3.6,3.6,2
null,Normal,2,10,ZzangDoleZombie,2,LINE_LEFT,3.6,3.6,1
null,Normal,2,10,ZzangDoleZombie,2,LINE_LEFT,3.6,3.6,2
null,Normal,2,10,RushZombie,1,SCATTER,3.6,3.6,1
null,Normal,2,10,RushZombie,1,SCATTER,3.6,3.6,2
null,Normal,2,10,ZzangDoleZombieBoss,1,LINE_LEFT,3.6,3.6,2
null,Normal,3,1,ZombieMan,5,SCATTER,0.85,0.85,1
null,Normal,3,1,ZombieMan,7,SCATTER,0.85,0.85,2
null,Normal,3,2,ZombieMan,6,SCATTER,1.18,1.18,1
null,Normal,3,2,ZombieMan,8,SCATTER,1.18,1.18,2
null,Normal,3,3,ZombieMan,6,SCATTER,1.51,1.51,1
null,Normal,3,3,ZombieMan,9,SCATTER,1.51,1.51,2
null,Normal,3,4,ZombieMan,6,SCATTER,1.85,1.85,1
null,Normal,3,4,ZombieMan,9,SCATTER,1.85,1.85,2
null,Normal,3,4,ZzangDoleZombie,1,LINE_LEFT,1.85,1.85,1
null,Normal,3,4,ZzangDoleZombie,1,LINE_LEFT,1.85,1.85,2
null,Normal,3,5,ZombieMan,5,SCATTER,2.18,2.18,1
null,Normal,3,5,ZombieMan,8,SCATTER,2.18,2.18,2
null,Normal,3,5,ZzangDoleZombie,1,LINE_LEFT,2.18,2.18,1
null,Normal,3,5,ZzangDoleZombie,1,LINE_LEFT,2.18,2.18,2
null,Normal,3,5,ZzangDoleZombieBoss,1,LINE_LEFT,2.18,2.18,2
null,Normal,3,6,ZombieMan,7,SCATTER,2.51,2.51,1
null,Normal,3,6,ZombieMan,11,SCATTER,2.51,2.51,2
null,Normal,3,6,ZzangDoleZombie,1,LINE_LEFT,2.51,2.51,1
null,Normal,3,6,ZzangDoleZombie,1,LINE_LEFT,2.51,2.51,2
null,Normal,3,7,ZombieMan,8,SCATTER,2.84,2.84,1
null,Normal,3,7,ZombieMan,11,SCATTER,2.84,2.84,2
null,Normal,3,7,ZzangDoleZombie,1,LINE_LEFT,2.84,2.84,1
null,Normal,3,7,ZzangDoleZombie,2,LINE_LEFT,2.84,2.84,2
null,Normal,3,8,ZombieMan,8,SCATTER,3.17,3.17,1
null,Normal,3,8,ZombieMan,12,SCATTER,3.17,3.17,2
null,Normal,3,8,ZzangDoleZombie,1,LINE_LEFT,3.17,3.17,1
null,Normal,3,8,ZzangDoleZombie,2,LINE_LEFT,3.17,3.17,2
null,Normal,3,9,ZombieMan,7,SCATTER,3.51,3.51,1
null,Normal,3,9,ZombieMan,11,SCATTER,3.51,3.51,2
null,Normal,3,9,ZzangDoleZombie,2,LINE_LEFT,3.51,3.51,1
null,Normal,3,9,ZzangDoleZombie,2,LINE_LEFT,3.51,3.51,2
null,Normal,3,9,PushZombie,1,LINE_RIGHT,3.51,3.51,1
null,Normal,3,9,PushZombie,1,LINE_RIGHT,3.51,3.51,2
null,Normal,3,10,ZombieMan,6,SCATTER,3.84,3.84,1
null,Normal,3,10,ZombieMan,8,SCATTER,3.84,3.84,2
null,Normal,3,10,ZzangDoleZombie,2,LINE_LEFT,3.84,3.84,1
null,Normal,3,10,ZzangDoleZombie,2,LINE_LEFT,3.84,3.84,2
null,Normal,3,10,PushZombie,1,LINE_RIGHT,3.84,3.84,1
null,Normal,3,10,PushZombie,1,LINE_RIGHT,3.84,3.84,2
null,Normal,3,10,ZombieBoss,1,LINE_LEFT,3.84,3.84,2
null,Normal,3,11,ZombieMan,8,SCATTER,4.17,4.17,1
null,Normal,3,11,ZombieMan,13,SCATTER,4.17,4.17,2
null,Normal,3,11,ZzangDoleZombie,2,LINE_LEFT,4.17,4.17,1
null,Normal,3,11,ZzangDoleZombie,2,LINE_LEFT,4.17,4.17,2
null,Normal,3,11,PushZombie,1,LINE_RIGHT,4.17,4.17,1
null,Normal,3,11,PushZombie,1,LINE_RIGHT,4.17,4.17,2
null,Normal,3,12,ZombieMan,8,SCATTER,4.5,4.5,1
null,Normal,3,12,ZombieMan,12,SCATTER,4.5,4.5,2
null,Normal,3,12,ZzangDoleZombie,2,LINE_LEFT,4.5,4.5,1
null,Normal,3,12,ZzangDoleZombie,3,LINE_LEFT,4.5,4.5,2
null,Normal,3,12,PushZombie,1,LINE_RIGHT,4.5,4.5,1
null,Normal,3,12,PushZombie,2,LINE_RIGHT,4.5,4.5,2
null,Normal,3,13,ZombieMan,9,SCATTER,4.84,4.84,1
null,Normal,3,13,ZombieMan,13,SCATTER,4.84,4.84,2
null,Normal,3,13,ZzangDoleZombie,2,LINE_LEFT,4.84,4.84,1
null,Normal,3,13,ZzangDoleZombie,3,LINE_LEFT,4.84,4.84,2
null,Normal,3,13,PushZombie,1,LINE_RIGHT,4.84,4.84,1
null,Normal,3,13,PushZombie,2,LINE_RIGHT,4.84,4.84,2
null,Normal,3,14,ZombieMan,8,SCATTER,5.17,5.17,1
null,Normal,3,14,ZombieMan,13,SCATTER,5.17,5.17,2
null,Normal,3,14,ZzangDoleZombie,2,LINE_LEFT,5.17,5.17,1
null,Normal,3,14,ZzangDoleZombie,4,LINE_LEFT,5.17,5.17,2
null,Normal,3,14,PushZombie,2,LINE_RIGHT,5.17,5.17,1
null,Normal,3,14,PushZombie,2,LINE_RIGHT,5.17,5.17,2
null,Normal,3,15,ZombieMan,6,SCATTER,5.5,5.5,1
null,Normal,3,15,ZombieMan,10,SCATTER,5.5,5.5,2
null,Normal,3,15,ZzangDoleZombie,2,LINE_LEFT,5.5,5.5,1
null,Normal,3,15,ZzangDoleZombie,4,LINE_LEFT,5.5,5.5,2
null,Normal,3,15,PushZombie,2,LINE_RIGHT,5.5,5.5,1
null,Normal,3,15,PushZombie,2,LINE_RIGHT,5.5,5.5,2
null,Normal,3,15,PushZombieBoss,1,LINE_LEFT,5.5,5.5,2
null,Normal,4,1,ZombieMan,5,SCATTER,0.95,0.95,1
null,Normal,4,1,ZombieMan,7,SCATTER,0.95,0.95,2
null,Normal,4,2,ZombieMan,6,SCATTER,1.37,1.37,1
null,Normal,4,2,ZombieMan,8,SCATTER,1.37,1.37,2
null,Normal,4,3,ZombieMan,6,SCATTER,1.79,1.79,1
null,Normal,4,3,ZombieMan,9,SCATTER,1.79,1.79,2
null,Normal,4,4,ZombieMan,6,SCATTER,2.2,2.2,1
null,Normal,4,4,ZombieMan,8,SCATTER,2.2,2.2,2
null,Normal,4,4,RushZombie,1,SCATTER,2.2,2.2,1
null,Normal,4,4,RushZombie,1,SCATTER,2.2,2.2,2
null,Normal,4,5,ZombieMan,4,SCATTER,2.62,2.62,1
null,Normal,4,5,ZombieMan,7,SCATTER,2.62,2.62,2
null,Normal,4,5,RushZombie,1,SCATTER,2.62,2.62,1
null,Normal,4,5,RushZombie,1,SCATTER,2.62,2.62,2
null,Normal,4,5,RushZombieBoss,1,LINE_LEFT,2.62,2.62,2
null,Normal,4,6,ZombieMan,7,SCATTER,3.04,3.04,1
null,Normal,4,6,ZombieMan,10,SCATTER,3.04,3.04,2
null,Normal,4,6,RushZombie,1,SCATTER,3.04,3.04,1
null,Normal,4,6,RushZombie,1,SCATTER,3.04,3.04,2
null,Normal,4,7,ZombieMan,7,SCATTER,3.46,3.46,1
null,Normal,4,7,ZombieMan,10,SCATTER,3.46,3.46,2
null,Normal,4,7,RushZombie,1,SCATTER,3.46,3.46,1
null,Normal,4,7,RushZombie,2,SCATTER,3.46,3.46,2
null,Normal,4,8,ZombieMan,7,SCATTER,3.88,3.88,1
null,Normal,4,8,ZombieMan,11,SCATTER,3.88,3.88,2
null,Normal,4,8,RushZombie,1,SCATTER,3.88,3.88,1
null,Normal,4,8,RushZombie,2,SCATTER,3.88,3.88,2
null,Normal,4,9,ZombieMan,6,SCATTER,4.29,4.29,1
null,Normal,4,9,ZombieMan,9,SCATTER,4.29,4.29,2
null,Normal,4,9,RushZombie,2,SCATTER,4.29,4.29,1
null,Normal,4,9,RushZombie,2,SCATTER,4.29,4.29,2
null,Normal,4,9,PushZombie,1,LINE_RIGHT,4.29,4.29,1
null,Normal,4,9,PushZombie,1,LINE_RIGHT,4.29,4.29,2
null,Normal,4,10,ZombieMan,4,SCATTER,4.71,4.71,1
null,Normal,4,10,ZombieMan,7,SCATTER,4.71,4.71,2
null,Normal,4,10,RushZombie,2,SCATTER,4.71,4.71,1
null,Normal,4,10,RushZombie,2,SCATTER,4.71,4.71,2
null,Normal,4,10,PushZombie,1,LINE_RIGHT,4.71,4.71,1
null,Normal,4,10,PushZombie,1,LINE_RIGHT,4.71,4.71,2
null,Normal,4,10,PushZombieBoss,1,LINE_LEFT,4.71,4.71,2
null,Normal,4,11,ZombieMan,7,SCATTER,5.13,5.13,1
null,Normal,4,11,ZombieMan,11,SCATTER,5.13,5.13,2
null,Normal,4,11,RushZombie,2,SCATTER,5.13,5.13,1
null,Normal,4,11,RushZombie,2,SCATTER,5.13,5.13,2
null,Normal,4,11,PushZombie,1,LINE_RIGHT,5.13,5.13,1
null,Normal,4,11,PushZombie,1,LINE_RIGHT,5.13,5.13,2
null,Normal,4,12,ZombieMan,6,SCATTER,5.55,5.55,1
null,Normal,4,12,ZombieMan,10,SCATTER,5.55,5.55,2
null,Normal,4,12,RushZombie,2,SCATTER,5.55,5.55,1
null,Normal,4,12,RushZombie,3,SCATTER,5.55,5.55,2
null,Normal,4,12,PushZombie,1,LINE_RIGHT,5.55,5.55,1
null,Normal,4,12,PushZombie,2,LINE_RIGHT,5.55,5.55,2
null,Normal,4,13,ZombieMan,7,SCATTER,5.96,5.96,1
null,Normal,4,13,ZombieMan,11,SCATTER,5.96,5.96,2
null,Normal,4,13,RushZombie,2,SCATTER,5.96,5.96,1
null,Normal,4,13,RushZombie,3,SCATTER,5.96,5.96,2
null,Normal,4,13,PushZombie,1,LINE_RIGHT,5.96,5.96,1
null,Normal,4,13,PushZombie,2,LINE_RIGHT,5.96,5.96,2
null,Normal,4,14,ZombieMan,6,SCATTER,6.38,6.38,1
null,Normal,4,14,ZombieMan,10,SCATTER,6.38,6.38,2
null,Normal,4,14,RushZombie,2,SCATTER,6.38,6.38,1
null,Normal,4,14,RushZombie,4,SCATTER,6.38,6.38,2
null,Normal,4,14,PushZombie,2,LINE_RIGHT,6.38,6.38,1
null,Normal,4,14,PushZombie,2,LINE_RIGHT,6.38,6.38,2
null,Normal,4,15,ZombieMan,4,SCATTER,6.8,6.8,1
null,Normal,4,15,ZombieMan,7,SCATTER,6.8,6.8,2
null,Normal,4,15,RushZombie,2,SCATTER,6.8,6.8,1
null,Normal,4,15,RushZombie,4,SCATTER,6.8,6.8,2
null,Normal,4,15,PushZombie,2,LINE_RIGHT,6.8,6.8,1
null,Normal,4,15,PushZombie,2,LINE_RIGHT,6.8,6.8,2
null,Normal,4,15,RushZombieBoss,1,LINE_LEFT,6.8,6.8,2
null,Normal,5,1,ZombieMan,5,SCATTER,1.05,1.05,1
null,Normal,5,1,ZombieMan,7,SCATTER,1.05,1.05,2
null,Normal,5,2,ZombieMan,6,SCATTER,1.55,1.55,1
null,Normal,5,2,ZombieMan,8,SCATTER,1.55,1.55,2
null,Normal,5,3,ZombieMan,6,SCATTER,2.04,2.04,1
null,Normal,5,3,ZombieMan,9,SCATTER,2.04,2.04,2
null,Normal,5,4,ZombieMan,6,SCATTER,2.54,2.54,1
null,Normal,5,4,ZombieMan,9,SCATTER,2.54,2.54,2
null,Normal,5,4,ZzangDoleZombie,1,LINE_LEFT,2.54,2.54,1
null,Normal,5,4,ZzangDoleZombie,1,LINE_LEFT,2.54,2.54,2
null,Normal,5,5,ZombieMan,5,SCATTER,3.04,3.04,1
null,Normal,5,5,ZombieMan,8,SCATTER,3.04,3.04,2
null,Normal,5,5,ZzangDoleZombie,1,LINE_LEFT,3.04,3.04,1
null,Normal,5,5,ZzangDoleZombie,1,LINE_LEFT,3.04,3.04,2
null,Normal,5,5,ZzangDoleZombieBoss,1,LINE_LEFT,3.04,3.04,2
null,Normal,5,6,ZombieMan,7,SCATTER,3.53,3.53,1
null,Normal,5,6,ZombieMan,11,SCATTER,3.53,3.53,2
null,Normal,5,6,ZzangDoleZombie,1,LINE_LEFT,3.53,3.53,1
null,Normal,5,6,ZzangDoleZombie,1,LINE_LEFT,3.53,3.53,2
null,Normal,5,7,ZombieMan,8,SCATTER,4.03,4.03,1
null,Normal,5,7,ZombieMan,11,SCATTER,4.03,4.03,2
null,Normal,5,7,ZzangDoleZombie,1,LINE_LEFT,4.03,4.03,1
null,Normal,5,7,ZzangDoleZombie,2,LINE_LEFT,4.03,4.03,2
null,Normal,5,8,ZombieMan,8,SCATTER,4.53,4.53,1
null,Normal,5,8,ZombieMan,12,SCATTER,4.53,4.53,2
null,Normal,5,8,ZzangDoleZombie,1,LINE_LEFT,4.53,4.53,1
null,Normal,5,8,ZzangDoleZombie,2,LINE_LEFT,4.53,4.53,2
null,Normal,5,9,ZombieMan,7,SCATTER,5.02,5.02,1
null,Normal,5,9,ZombieMan,11,SCATTER,5.02,5.02,2
null,Normal,5,9,ZzangDoleZombie,2,LINE_LEFT,5.02,5.02,1
null,Normal,5,9,ZzangDoleZombie,2,LINE_LEFT,5.02,5.02,2
null,Normal,5,9,BoomZombie,1,SCATTER,5.02,5.02,1
null,Normal,5,9,BoomZombie,1,SCATTER,5.02,5.02,2
null,Normal,5,10,ZombieMan,6,SCATTER,5.52,5.52,1
null,Normal,5,10,ZombieMan,9,SCATTER,5.52,5.52,2
null,Normal,5,10,ZzangDoleZombie,2,LINE_LEFT,5.52,5.52,1
null,Normal,5,10,ZzangDoleZombie,2,LINE_LEFT,5.52,5.52,2
null,Normal,5,10,BoomZombie,1,SCATTER,5.52,5.52,1
null,Normal,5,10,BoomZombie,1,SCATTER,5.52,5.52,2
null,Normal,5,10,BoomZombieBoss,1,LINE_LEFT,5.52,5.52,2
null,Normal,5,11,ZombieMan,8,SCATTER,6.01,6.01,1
null,Normal,5,11,ZombieMan,13,SCATTER,6.01,6.01,2
null,Normal,5,11,ZzangDoleZombie,2,LINE_LEFT,6.01,6.01,1
null,Normal,5,11,ZzangDoleZombie,2,LINE_LEFT,6.01,6.01,2
null,Normal,5,11,BoomZombie,1,SCATTER,6.01,6.01,1
null,Normal,5,11,BoomZombie,1,SCATTER,6.01,6.01,2
null,Normal,5,12,ZombieMan,8,SCATTER,6.51,6.51,1
null,Normal,5,12,ZombieMan,13,SCATTER,6.51,6.51,2
null,Normal,5,12,ZzangDoleZombie,2,LINE_LEFT,6.51,6.51,1
null,Normal,5,12,ZzangDoleZombie,3,LINE_LEFT,6.51,6.51,2
null,Normal,5,12,BoomZombie,1,SCATTER,6.51,6.51,1
null,Normal,5,12,BoomZombie,2,SCATTER,6.51,6.51,2
null,Normal,5,13,ZombieMan,9,SCATTER,7.01,7.01,1
null,Normal,5,13,ZombieMan,13,SCATTER,7.01,7.01,2
null,Normal,5,13,ZzangDoleZombie,2,LINE_LEFT,7.01,7.01,1
null,Normal,5,13,ZzangDoleZombie,3,LINE_LEFT,7.01,7.01,2
null,Normal,5,13,BoomZombie,1,SCATTER,7.01,7.01,1
null,Normal,5,13,BoomZombie,2,SCATTER,7.01,7.01,2
null,Normal,5,14,ZombieMan,8,SCATTER,7.5,7.5,1
null,Normal,5,14,ZombieMan,13,SCATTER,7.5,7.5,2
null,Normal,5,14,ZzangDoleZombie,2,LINE_LEFT,7.5,7.5,1
null,Normal,5,14,ZzangDoleZombie,4,LINE_LEFT,7.5,7.5,2
null,Normal,5,14,BoomZombie,2,SCATTER,7.5,7.5,1
null,Normal,5,14,BoomZombie,2,SCATTER,7.5,7.5,2
null,Normal,5,15,ZombieMan,6,SCATTER,8.0,8.0,1
null,Normal,5,15,ZombieMan,10,SCATTER,8.0,8.0,2
null,Normal,5,15,ZzangDoleZombie,2,LINE_LEFT,8.0,8.0,1
null,Normal,5,15,ZzangDoleZombie,4,LINE_LEFT,8.0,8.0,2
null,Normal,5,15,BoomZombie,2,SCATTER,8.0,8.0,1
null,Normal,5,15,BoomZombie,2,SCATTER,8.0,8.0,2
null,Normal,5,15,ZombieBoss,1,LINE_LEFT,8.0,8.0,2
null,Normal,6,1,ZombieMan,5,SCATTER,1.15,1.15,1
null,Normal,6,1,ZombieMan,7,SCATTER,1.15,1.15,2
null,Normal,6,2,ZombieMan,6,SCATTER,1.73,1.73,1
null,Normal,6,2,ZombieMan,8,SCATTER,1.73,1.73,2
null,Normal,6,3,ZombieMan,6,SCATTER,2.3,2.3,1
null,Normal,6,3,ZombieMan,9,SCATTER,2.3,2.3,2
null,Normal,6,4,ZombieMan,6,SCATTER,2.88,2.88,1
null,Normal,6,4,ZombieMan,8,SCATTER,2.88,2.88,2
null,Normal,6,4,RushZombie,1,SCATTER,2.88,2.88,1
null,Normal,6,4,RushZombie,1,SCATTER,2.88,2.88,2
null,Normal,6,5,ZombieMan,4,SCATTER,3.45,3.45,1
null,Normal,6,5,ZombieMan,7,SCATTER,3.45,3.45,2
null,Normal,6,5,RushZombie,1,SCATTER,3.45,3.45,1
null,Normal,6,5,RushZombie,1,SCATTER,3.45,3.45,2
null,Normal,6,5,RushZombieBoss,1,LINE_LEFT,3.45,3.45,2
null,Normal,6,6,ZombieMan,7,SCATTER,4.03,4.03,1
null,Normal,6,6,ZombieMan,10,SCATTER,4.03,4.03,2
null,Normal,6,6,RushZombie,1,SCATTER,4.03,4.03,1
null,Normal,6,6,RushZombie,1,SCATTER,4.03,4.03,2
null,Normal,6,7,ZombieMan,7,SCATTER,4.6,4.6,1
null,Normal,6,7,ZombieMan,10,SCATTER,4.6,4.6,2
null,Normal,6,7,RushZombie,1,SCATTER,4.6,4.6,1
null,Normal,6,7,RushZombie,2,SCATTER,4.6,4.6,2
null,Normal,6,8,ZombieMan,7,SCATTER,5.17,5.17,1
null,Normal,6,8,ZombieMan,11,SCATTER,5.17,5.17,2
null,Normal,6,8,RushZombie,1,SCATTER,5.17,5.17,1
null,Normal,6,8,RushZombie,2,SCATTER,5.17,5.17,2
null,Normal,6,9,ZombieMan,6,SCATTER,5.75,5.75,1
null,Normal,6,9,ZombieMan,9,SCATTER,5.75,5.75,2
null,Normal,6,9,RushZombie,2,SCATTER,5.75,5.75,1
null,Normal,6,9,RushZombie,2,SCATTER,5.75,5.75,2
null,Normal,6,9,BoomZombie,1,SCATTER,5.75,5.75,1
null,Normal,6,9,BoomZombie,1,SCATTER,5.75,5.75,2
null,Normal,6,10,ZombieMan,4,SCATTER,6.33,6.33,1
null,Normal,6,10,ZombieMan,7,SCATTER,6.33,6.33,2
null,Normal,6,10,RushZombie,2,SCATTER,6.33,6.33,1
null,Normal,6,10,RushZombie,2,SCATTER,6.33,6.33,2
null,Normal,6,10,BoomZombie,1,SCATTER,6.33,6.33,1
null,Normal,6,10,BoomZombie,1,SCATTER,6.33,6.33,2
null,Normal,6,10,BoomZombieBoss,1,LINE_LEFT,6.33,6.33,2
null,Normal,6,11,ZombieMan,7,SCATTER,6.9,6.9,1
null,Normal,6,11,ZombieMan,11,SCATTER,6.9,6.9,2
null,Normal,6,11,RushZombie,2,SCATTER,6.9,6.9,1
null,Normal,6,11,RushZombie,2,SCATTER,6.9,6.9,2
null,Normal,6,11,BoomZombie,1,SCATTER,6.9,6.9,1
null,Normal,6,11,BoomZombie,1,SCATTER,6.9,6.9,2
null,Normal,6,12,ZombieMan,7,SCATTER,7.47,7.47,1
null,Normal,6,12,ZombieMan,10,SCATTER,7.47,7.47,2
null,Normal,6,12,RushZombie,2,SCATTER,7.47,7.47,1
null,Normal,6,12,RushZombie,3,SCATTER,7.47,7.47,2
null,Normal,6,12,BoomZombie,1,SCATTER,7.47,7.47,1
null,Normal,6,12,BoomZombie,2,SCATTER,7.47,7.47,2
null,Normal,6,13,ZombieMan,7,SCATTER,8.05,8.05,1
null,Normal,6,13,ZombieMan,11,SCATTER,8.05,8.05,2
null,Normal,6,13,RushZombie,2,SCATTER,8.05,8.05,1
null,Normal,6,13,RushZombie,3,SCATTER,8.05,8.05,2
null,Normal,6,13,BoomZombie,1,SCATTER,8.05,8.05,1
null,Normal,6,13,BoomZombie,2,SCATTER,8.05,8.05,2
null,Normal,6,14,ZombieMan,7,SCATTER,8.62,8.62,1
null,Normal,6,14,ZombieMan,10,SCATTER,8.62,8.62,2
null,Normal,6,14,RushZombie,2,SCATTER,8.62,8.62,1
null,Normal,6,14,RushZombie,4,SCATTER,8.62,8.62,2
null,Normal,6,14,BoomZombie,2,SCATTER,8.62,8.62,1
null,Normal,6,14,BoomZombie,2,SCATTER,8.62,8.62,2
null,Normal,6,15,ZombieMan,4,SCATTER,9.2,9.2,1
null,Normal,6,15,ZombieMan,7,SCATTER,9.2,9.2,2
null,Normal,6,15,RushZombie,2,SCATTER,9.2,9.2,1
null,Normal,6,15,RushZombie,4,SCATTER,9.2,9.2,2
null,Normal,6,15,BoomZombie,2,SCATTER,9.2,9.2,1
null,Normal,6,15,BoomZombie,2,SCATTER,9.2,9.2,2
null,Normal,6,15,RushZombieBoss2,1,LINE_LEFT,9.2,9.2,2
null,Normal,7,1,ZombieMan,5,SCATTER,1.25,1.25,1
null,Normal,7,1,ZombieMan,7,SCATTER,1.25,1.25,2
null,Normal,7,2,ZombieMan,6,SCATTER,1.9,1.9,1
null,Normal,7,2,ZombieMan,8,SCATTER,1.9,1.9,2
null,Normal,7,3,ZombieMan,6,SCATTER,2.56,2.56,1
null,Normal,7,3,ZombieMan,9,SCATTER,2.56,2.56,2
null,Normal,7,4,ZombieMan,5,SCATTER,3.21,3.21,1
null,Normal,7,4,ZombieMan,8,SCATTER,3.21,3.21,2
null,Normal,7,4,PushZombie,1,LINE_RIGHT,3.21,3.21,1
null,Normal,7,4,PushZombie,1,LINE_RIGHT,3.21,3.21,2
null,Normal,7,5,ZombieMan,4,SCATTER,3.86,3.86,1
null,Normal,7,5,ZombieMan,7,SCATTER,3.86,3.86,2
null,Normal,7,5,PushZombie,1,LINE_RIGHT,3.86,3.86,1
null,Normal,7,5,PushZombie,1,LINE_RIGHT,3.86,3.86,2
null,Normal,7,5,PushZombieBoss,1,LINE_LEFT,3.86,3.86,2
null,Normal,7,6,ZombieMan,6,SCATTER,4.52,4.52,1
null,Normal,7,6,ZombieMan,10,SCATTER,4.52,4.52,2
null,Normal,7,6,PushZombie,1,LINE_RIGHT,4.52,4.52,1
null,Normal,7,6,PushZombie,1,LINE_RIGHT,4.52,4.52,2
