unitCode,level,descKey,param0_source,param1_source,param2_source,param3_source,param4_source,param5_source,param6_source,param7_source,notes
Hacker,0,unit.Hacker.skill.desc,CHAIN_HACKER_002.value,CHAIN_HACKER_002.duration,,,,,,,,보호막%/지속시간(초)
Hacker,10,unit.Hacker.breakthrough_10.desc,CHAIN_HACKER_003_L10.value,,,,,,,,피해 감소%
Hacker,30,unit.Hacker.breakthrough_30.desc,,,,,,,,,자가 보호막 (파라미터 없음)
Hacker,50,unit.Hacker.breakthrough_50.desc,CHAIN_HACKER_002_L50.value,,,,,,,,보호막 추가% (증분값)
Hacker,999,unit.Hacker.awakening.desc,CHAIN_HACKER_002.value,CHAIN_HACKER_002.duration,CHAIN_HACKER_005_AWK.value,,,,,,보호막%/지속시간/회복%
# Snake - SKILL_SNAKE_ATTACK_SPEED_BUFF (공격속도 버프)
Snake,0,unit.Snake.skill.desc,CHAIN_SNAKE_001.params.max_targets,CHAIN_SNAKE_002.duration,CHAIN_SNAKE_002.value,,,,,,대상 수/지속시간(초)/공격속도%
Snake,10,unit.Snake.breakthrough_10.desc,CHAIN_SNAKE_003_L10.value,,,,,,,,공격력%
Snake,30,unit.Snake.breakthrough_30.desc,CHAIN_SNAKE_004_L30.value,,,,,,,,회복%
Snake,50,unit.Snake.breakthrough_50.desc,CHAIN_SNAKE_001_L50.params.max_targets@increment,CHAIN_SNAKE_001_L50.params.max_targets,,,,,,추가 대상 수/최대 대상 수
Snake,999,unit.Snake.awakening.desc,CHAIN_SNAKE_001.params.max_targets,CHAIN_SNAKE_002.duration,CHAIN_SNAKE_002.value,CHAIN_SNAKE_005_AWK.value,,,,,대상수/지속시간/공속%/이속%
