null,mode,stage,wave,enemy_type,count,formation_type,hp_multiplier,attack_multiplier
null,Normal,5,8,ZzangDoleZombie,4,LINE_LEFT,0.88,0.62
null,Normal,5,8,ZzangDoleZombieBoss,1,BOSS_CENTER,1.58,0.62
null,Normal,5,9,ZombieMan,17,SCATTER,0.89,0.64
null,Normal,5,9,ZzangDoleZombie,4,LINE_LEFT,0.89,0.64
null,Normal,5,10,ZombieMan,19,SCATTER,0.91,0.65
null,Normal,5,10,ZzangDoleZombie,4,LINE_LEFT,0.91,0.65
null,Normal,5,11,ZombieMan,19,SCATTER,0.93,0.66
null,Normal,5,11,ZzangDoleZombie,4,LINE_LEFT,0.93,0.66
null,Normal,5,12,ZombieMan,20,SCATTER,0.95,0.67
null,Normal,5,12,ZzangDoleZombie,4,LINE_LEFT,0.95,0.67
null,Normal,5,13,ZombieMan,20,SCATTER,0.96,0.68
null,Normal,5,13,ZzangDoleZombie,4,LINE_LEFT,0.96,0.68
null,Normal,5,14,ZombieMan,21,SCATTER,0.98,0.69
null,Normal,5,14,ZzangDoleZombie,4,LINE_LEFT,0.98,0.69
null,Normal,5,15,ZombieBoss,2,BOSS_CENTER,1.8,0.7
null,Normal,5,15,ZombieMan,11,SCATTER,1,0.7
null,Normal,5,15,ZzangDoleZombie,4,LINE_LEFT,1,0.7
null,Normal,5,15,ZzangDoleZombieBoss,2,BOSS_CENTER,1.8,0.7
null,Normal,6,1,ZombieMan,2,SCATTER,0.9,0.65
null,Normal,6,1,ZzangDoleZombie,2,LINE_LEFT,0.9,0.65
null,Normal,6,2,ZombieMan,4,SCATTER,0.93,0.66
null,Normal,6,2,ZombieMan,4,LINE_CENTER,0.93,0.66
null,Normal,6,2,ZzangDoleZombie,3,LINE_LEFT,0.93,0.66
null,Normal,6,3,ZombieMan,8,SCATTER,0.95,0.68
null,Normal,6,3,ZombieMan,8,LINE_RIGHT,0.95,0.68
null,Normal,6,3,ZzangDoleZombie,3,LINE_LEFT,0.95,0.68
null,Normal,6,4,ZombieMan,12,SCATTER,0.98,0.69
null,Normal,6,4,ZombieMan,9,LINE_CENTER,0.98,0.69
null,Normal,6,4,ZzangDoleZombie,4,LINE_LEFT,0.98,0.69
null,Normal,6,5,ZombieMan,16,SCATTER,1.01,0.7
null,Normal,6,5,ZombieMan,12,LINE_RIGHT,1.01,0.7
null,Normal,6,5,ZzangDoleZombie,4,LINE_LEFT,1.01,0.7
null,Normal,6,6,ZombieMan,16,SCATTER,1.04,0.72
null,Normal,6,6,ZombieMan,13,LINE_CENTER,1.04,0.72
null,Normal,6,6,ZzangDoleZombie,4,LINE_LEFT,1.04,0.72
null,Normal,6,7,ZombieMan,17,SCATTER,1.06,0.73
null,Normal,6,7,ZombieMan,13,LINE_RIGHT,1.06,0.73
null,Normal,6,7,ZzangDoleZombie,4,LINE_LEFT,1.06,0.73
null,Normal,6,8,ZombieMan,17,SCATTER,1.09,0.75
null,Normal,6,8,ZombieMan,15,LINE_CENTER,1.09,0.75
null,Normal,6,8,ZzangDoleZombie,4,LINE_LEFT,1.09,0.75
null,Normal,6,9,ZombieMan,19,SCATTER,1.12,0.76
null,Normal,6,9,ZombieMan,15,LINE_RIGHT,1.12,0.76
null,Normal,6,9,ZzangDoleZombie,4,LINE_LEFT,1.12,0.76
null,Normal,6,10,ZombieMan,19,SCATTER,1.15,0.77
null,Normal,6,10,ZombieMan,16,LINE_CENTER,1.15,0.77
null,Normal,6,10,ZzangDoleZombie,4,LINE_LEFT,1.15,0.77
null,Normal,6,11,ZombieMan,20,SCATTER,1.17,0.79
null,Normal,6,11,ZombieMan,16,LINE_RIGHT,1.17,0.79
null,Normal,6,11,ZzangDoleZombie,5,LINE_LEFT,1.17,0.79
null,Normal,6,12,ZombieMan,20,SCATTER,1.2,0.8
null,Normal,6,12,ZombieMan,17,LINE_CENTER,1.2,0.8
null,Normal,6,12,ZzangDoleZombie,5,LINE_LEFT,1.2,0.8
null,Normal,7,1,ZombieMan,2,SCATTER,1.1,0.75
null,Normal,7,1,ZombieMan,3,LINE_RIGHT,1.1,0.75
null,Normal,7,1,ZzangDoleZombie,1,LINE_LEFT,1.1,0.75
null,Normal,7,2,ZombieMan,5,SCATTER,1.13,0.76
null,Normal,7,2,ZombieMan,5,LINE_CENTER,1.13,0.76
null,Normal,7,2,ZzangDoleZombie,2,LINE_LEFT,1.13,0.76
null,Normal,7,3,ZombieMan,12,SCATTER,1.15,0.78
null,Normal,7,3,ZombieMan,8,LINE_RIGHT,1.15,0.78
null,Normal,7,3,ZzangDoleZombie,2,LINE_LEFT,1.15,0.78
null,Normal,7,4,ZombieMan,12,SCATTER,1.18,0.79
null,Normal,7,4,ZombieMan,9,LINE_CENTER,1.18,0.79
null,Normal,7,4,ZzangDoleZombie,3,LINE_LEFT,1.18,0.79
null,Normal,7,5,ZombieMan,16,SCATTER,1.21,0.8
null,Normal,7,5,ZombieMan,12,LINE_RIGHT,1.21,0.8
null,Normal,7,5,ZzangDoleZombie,4,LINE_LEFT,1.21,0.8
null,Normal,7,6,ZombieMan,16,SCATTER,1.24,0.82
null,Normal,7,6,ZombieMan,13,LINE_CENTER,1.24,0.82
null,Normal,7,6,ZzangDoleZombie,5,LINE_LEFT,1.24,0.82
null,Normal,7,7,ZombieMan,17,SCATTER,1.26,0.83
null,Normal,7,7,ZombieMan,13,LINE_RIGHT,1.26,0.83
null,Normal,7,7,ZzangDoleZombie,5,LINE_LEFT,1.26,0.83
null,Normal,7,8,ZombieMan,17,SCATTER,1.29,0.85
null,Normal,7,8,ZombieMan,15,LINE_CENTER,1.29,0.85
null,Normal,7,8,ZzangDoleZombie,5,LINE_LEFT,1.29,0.85
null,Normal,7,9,ZombieMan,19,SCATTER,1.32,0.86
null,Normal,7,9,ZombieMan,15,LINE_RIGHT,1.32,0.86
null,Normal,7,9,ZzangDoleZombie,5,LINE_LEFT,1.32,0.86
null,Normal,7,10,ZombieMan,19,SCATTER,1.35,0.87
null,Normal,7,10,ZombieMan,16,LINE_CENTER,1.35,0.87
null,Normal,7,10,ZzangDoleZombie,5,LINE_LEFT,1.35,0.87
null,Normal,7,11,ZombieMan,20,SCATTER,1.37,0.89
null,Normal,7,11,ZombieMan,16,LINE_RIGHT,1.37,0.89
null,Normal,7,11,ZzangDoleZombie,5,LINE_LEFT,1.37,0.89
null,Normal,7,12,ZombieMan,12,SCATTER,1.4,0.9
null,Normal,7,12,ZombieMan,8,LINE_RIGHT,1.4,0.9
null,Normal,7,12,ZombieManBoss,2,BOSS_CENTER,2.52,0.9
null,Normal,7,12,ZzangDoleZombie,5,LINE_LEFT,1.4,0.9
null,Normal,8,1,ZombieMan,2,SCATTER,1.3,0.85
null,Normal,8,1,ZombieMan,3,LINE_RIGHT,1.3,0.85
null,Normal,8,1,ZzangDoleZombie,2,LINE_LEFT,1.3,0.85
null,Normal,8,2,ZombieMan,6,SCATTER,1.32,0.86
null,Normal,8,2,ZombieMan,5,LINE_CENTER,1.32,0.86
null,Normal,8,2,ZzangDoleZombie,2,LINE_LEFT,1.32,0.86
null,Normal,8,3,RushZombie,1,SCATTER,1.34,0.87
null,Normal,8,3,ZombieMan,12,SCATTER,1.34,0.87
null,Normal,8,3,ZombieMan,9,LINE_RIGHT,1.34,0.87
null,Normal,8,3,ZzangDoleZombie,5,LINE_LEFT,1.34,0.87
null,Normal,8,4,ZombieMan,12,SCATTER,1.36,0.88
null,Normal,8,4,ZombieMan,9,LINE_CENTER,1.36,0.88
null,Normal,8,4,ZzangDoleZombie,5,LINE_LEFT,1.36,0.88
null,Normal,8,5,RushZombie,2,SCATTER,1.39,0.89
null,Normal,8,5,ZombieMan,16,SCATTER,1.39,0.89
null,Normal,8,5,ZombieMan,13,LINE_RIGHT,1.39,0.89
null,Normal,8,5,ZzangDoleZombie,5,LINE_LEFT,1.39,0.89
null,Normal,8,6,ZombieMan,17,SCATTER,1.41,0.9
null,Normal,8,6,ZombieMan,13,LINE_CENTER,1.41,0.9
null,Normal,8,6,ZzangDoleZombie,5,LINE_LEFT,1.41,0.9
null,Normal,8,7,RushZombie,2,SCATTER,1.43,0.91
null,Normal,8,7,ZombieMan,17,SCATTER,1.43,0.91
null,Normal,8,7,ZombieMan,15,LINE_RIGHT,1.43,0.91
null,Normal,8,7,ZzangDoleZombie,5,LINE_LEFT,1.43,0.91
null,Normal,8,8,ZombieMan,19,SCATTER,1.45,0.93
null,Normal,8,8,ZombieMan,15,LINE_CENTER,1.45,0.93
null,Normal,8,8,ZzangDoleZombie,5,LINE_LEFT,1.45,0.93
null,Normal,8,9,RushZombie,2,SCATTER,1.47,0.94
null,Normal,8,9,ZombieMan,19,SCATTER,1.47,0.94
null,Normal,8,9,ZombieMan,16,LINE_RIGHT,1.47,0.94
null,Normal,8,9,ZzangDoleZombie,5,LINE_LEFT,1.47,0.94
null,Normal,8,10,RushZombie,2,SCATTER,1.49,0.95
null,Normal,8,10,ZombieMan,20,SCATTER,1.49,0.95
null,Normal,8,10,ZombieMan,16,LINE_CENTER,1.49,0.95
null,Normal,8,10,ZzangDoleZombie,5,LINE_LEFT,1.49,0.95
null,Normal,8,11,RushZombie,2,SCATTER,1.51,0.96
null,Normal,8,11,ZombieMan,20,SCATTER,1.51,0.96
null,Normal,8,11,ZombieMan,17,LINE_RIGHT,1.51,0.96
null,Normal,8,11,ZzangDoleZombie,6,LINE_LEFT,1.51,0.96
null,Normal,8,12,RushZombie,2,SCATTER,1.54,0.97
null,Normal,8,12,ZombieMan,21,SCATTER,1.54,0.97
null,Normal,8,12,ZombieMan,17,LINE_CENTER,1.54,0.97
null,Normal,8,12,ZzangDoleZombie,6,LINE_LEFT,1.54,0.97
null,Normal,8,13,RushZombie,2,SCATTER,1.56,0.98
null,Normal,8,13,ZombieMan,21,SCATTER,1.56,0.98
null,Normal,8,13,ZombieMan,19,LINE_RIGHT,1.56,0.98
null,Normal,8,13,ZzangDoleZombie,6,LINE_LEFT,1.56,0.98
null,Normal,8,14,RushZombie,2,SCATTER,1.58,0.99
null,Normal,8,14,ZombieMan,23,SCATTER,1.58,0.99
null,Normal,8,14,ZombieMan,19,LINE_CENTER,1.58,0.99
null,Normal,8,14,ZzangDoleZombie,6,LINE_LEFT,1.58,0.99
null,Normal,8,15,RushZombie,2,SCATTER,1.6,1
null,Normal,8,15,ZombieMan,23,SCATTER,1.6,1
null,Normal,8,15,ZombieMan,20,LINE_RIGHT,1.6,1
null,Normal,8,15,ZzangDoleZombie,6,LINE_LEFT,1.6,1
null,Normal,9,1,ZombieMan,4,SCATTER,1.5,0.95
null,Normal,9,1,ZombieMan,3,LINE_RIGHT,1.5,0.95
null,Normal,9,1,ZzangDoleZombie,2,LINE_LEFT,1.5,0.95
null,Normal,9,2,ZombieMan,6,SCATTER,1.52,0.96
null,Normal,9,2,ZombieMan,8,LINE_CENTER,1.52,0.96
null,Normal,9,2,ZzangDoleZombie,4,LINE_LEFT,1.52,0.96
null,Normal,9,3,RushZombie,1,SCATTER,1.54,0.97
null,Normal,9,3,ZombieMan,5,SCATTER,1.54,0.97
null,Normal,9,3,ZombieMan,8,LINE_RIGHT,1.54,0.97
null,Normal,9,3,ZzangDoleZombie,4,LINE_LEFT,1.54,0.97
null,Normal,9,4,ZombieMan,8,SCATTER,1.56,0.98
null,Normal,9,4,ZombieMan,9,LINE_CENTER,1.56,0.98
null,Normal,9,4,ZzangDoleZombie,5,LINE_LEFT,1.56,0.98
null,Normal,9,5,BoomZombie,1,SCATTER,1.59,0.99
null,Normal,9,5,RushZombie,2,SCATTER,1.59,0.99
null,Normal,9,5,ZombieMan,15,SCATTER,1.59,0.99
null,Normal,9,5,ZombieMan,10,LINE_RIGHT,1.59,0.99
null,Normal,9,5,ZzangDoleZombie,5,LINE_LEFT,1.59,0.99
null,Normal,9,6,BoomZombie,1,SCATTER,1.61,1
null,Normal,9,6,ZombieMan,33,SCATTER,1.61,1
null,Normal,9,6,ZombieMan,26,LINE_CENTER,1.61,1
null,Normal,9,6,ZzangDoleZombie,6,LINE_LEFT,1.61,1
null,Normal,9,7,BoomZombie,1,SCATTER,1.63,1.01
null,Normal,9,7,RushZombie,2,SCATTER,1.63,1.01
null,Normal,9,7,ZombieMan,34,SCATTER,1.63,1.01
null,Normal,9,7,ZombieMan,28,LINE_RIGHT,1.63,1.01
null,Normal,9,7,ZzangDoleZombie,6,LINE_LEFT,1.63,1.01
null,Normal,9,8,BoomZombie,1,SCATTER,1.65,1.02
null,Normal,9,8,ZombieMan,36,SCATTER,1.65,1.02
null,Normal,9,8,ZombieMan,29,LINE_CENTER,1.65,1.02
null,Normal,9,8,ZzangDoleZombie,6,LINE_LEFT,1.65,1.02
null,Normal,9,9,BoomZombie,1,SCATTER,1.67,1.04
null,Normal,9,9,RushZombie,2,SCATTER,1.67,1.04
null,Normal,9,9,ZombieMan,37,SCATTER,1.67,1.04
null,Normal,9,9,ZombieMan,30,LINE_RIGHT,1.67,1.04
null,Normal,9,9,ZzangDoleZombie,6,LINE_LEFT,1.67,1.04
null,Normal,9,10,BoomZombie,1,SCATTER,1.69,1.05
null,Normal,9,10,RushZombie,2,SCATTER,1.69,1.05
null,Normal,9,10,ZombieMan,38,SCATTER,1.69,1.05
null,Normal,9,10,ZzangDoleZombie,6,LINE_LEFT,1.69,1.05
null,Normal,9,11,BoomZombie,1,SCATTER,1.71,1.06
null,Normal,9,11,RushZombie,2,SCATTER,1.71,1.06
null,Normal,9,11,ZombieMan,39,SCATTER,1.71,1.06
null,Normal,9,11,ZombieMan,33,LINE_RIGHT,1.71,1.06
null,Normal,9,11,ZzangDoleZombie,6,LINE_LEFT,1.71,1.06
null,Normal,9,12,BoomZombie,1,SCATTER,1.74,1.07
null,Normal,9,12,ZombieMan,41,SCATTER,1.74,1.07
null,Normal,9,12,ZombieMan,34,LINE_CENTER,1.74,1.07
null,Normal,9,12,ZzangDoleZombie,6,LINE_LEFT,1.74,1.07
null,Normal,9,13,BoomZombie,1,SCATTER,1.76,1.08
null,Normal,9,13,RushZombie,2,SCATTER,1.76,1.08
null,Normal,9,13,ZombieMan,42,SCATTER,1.76,1.08
null,Normal,9,13,ZombieMan,36,LINE_RIGHT,1.76,1.08
null,Normal,9,13,ZzangDoleZombie,6,LINE_LEFT,1.76,1.08
null,Normal,9,14,BoomZombie,1,SCATTER,1.78,1.09
null,Normal,9,14,RushZombie,2,SCATTER,1.78,1.09
null,Normal,9,14,ZombieMan,43,SCATTER,1.78,1.09
null,Normal,9,14,ZombieMan,37,LINE_CENTER,1.78,1.09
null,Normal,9,14,ZzangDoleZombie,6,LINE_LEFT,1.78,1.09
null,Normal,9,15,BoomZombie,2,SCATTER,1.8,1.1
null,Normal,9,15,RushZombie,2,SCATTER,1.8,1.1
null,Normal,9,15,ZombieMan,45,SCATTER,1.8,1.1
null,Normal,9,15,ZombieMan,38,LINE_RIGHT,1.8,1.1
null,Normal,9,15,ZzangDoleZombie,6,LINE_LEFT,1.8,1.1
null,Normal,10,1,ZombieMan,9,SCATTER,1.7,1
null,Normal,10,1,ZombieMan,8,LINE_RIGHT,1.7,1
null,Normal,10,1,ZzangDoleZombie,3,LINE_LEFT,1.7,1
null,Normal,10,2,ZombieMan,10,SCATTER,1.73,1.02
null,Normal,10,2,ZombieMan,8,LINE_CENTER,1.73,1.02
null,Normal,10,2,ZzangDoleZombie,3,LINE_LEFT,1.73,1.02
null,Normal,10,3,RushZombie,1,SCATTER,1.75,1.03
null,Normal,10,3,ZombieMan,12,SCATTER,1.75,1.03
null,Normal,10,3,ZombieMan,9,LINE_RIGHT,1.75,1.03
null,Normal,10,3,ZzangDoleZombie,4,LINE_LEFT,1.75,1.03
null,Normal,10,4,RushZombie,1,SCATTER,1.78,1.05
null,Normal,10,4,ZombieMan,13,SCATTER,1.78,1.05
null,Normal,10,4,ZombieMan,10,LINE_CENTER,1.78,1.05
null,Normal,10,4,ZzangDoleZombie,4,LINE_LEFT,1.78,1.05
null,Normal,10,5,BoomZombie,1,SCATTER,1.81,1.06
null,Normal,10,5,RushZombie,2,SCATTER,1.81,1.06
null,Normal,10,5,ZombieMan,15,SCATTER,1.81,1.06
null,Normal,10,5,ZombieMan,12,LINE_RIGHT,1.81,1.06
null,Normal,10,5,ZzangDoleZombie,6,LINE_LEFT,1.81,1.06
null,Normal,10,6,BoomZombie,1,SCATTER,1.83,1.08
null,Normal,10,6,RushZombie,2,SCATTER,1.83,1.08
null,Normal,10,6,ZombieMan,34,SCATTER,1.83,1.08
null,Normal,10,6,ZombieMan,20,LINE_CENTER,1.83,1.08
null,Normal,10,6,ZzangDoleZombie,6,LINE_LEFT,1.83,1.08
null,Normal,10,7,BoomZombie,1,SCATTER,1.86,1.09
null,Normal,10,7,RushZombie,2,SCATTER,1.86,1.09
null,Normal,10,7,ZombieMan,36,SCATTER,1.86,1.09
null,Normal,10,7,ZombieMan,29,LINE_RIGHT,1.86,1.09
null,Normal,10,7,ZzangDoleZombie,6,LINE_LEFT,1.86,1.09
null,Normal,10,8,BoomZombie,1,SCATTER,1.88,1.11
null,Normal,10,8,RushZombie,2,SCATTER,1.88,1.11
null,Normal,10,8,ZombieMan,37,SCATTER,1.88,1.11
null,Normal,10,8,ZombieMan,30,LINE_CENTER,1.88,1.11
null,Normal,10,8,ZzangDoleZombie,6,LINE_LEFT,1.88,1.11
null,Normal,10,9,BoomZombie,1,SCATTER,1.91,1.13
null,Normal,10,9,RushZombie,2,SCATTER,1.91,1.13
null,Normal,10,9,ZombieMan,38,SCATTER,1.91,1.13
null,Normal,10,9,ZombieMan,32,LINE_RIGHT,1.91,1.13
null,Normal,10,9,ZzangDoleZombie,6,LINE_LEFT,1.91,1.13
null,Normal,10,10,ZombieBoss,2,BOSS_CENTER,3.49,1.14
null,Normal,10,10,ZombieMan,24,SCATTER,1.94,1.14
null,Normal,10,10,ZombieMan,16,LINE_RIGHT,1.94,1.14
null,Normal,10,10,ZombieManBoss,2,BOSS_CENTER,3.49,1.14
null,Normal,10,10,ZzangDoleZombie,6,LINE_LEFT,1.94,1.14
null,Normal,10,10,ZzangDoleZombieBoss,2,BOSS_CENTER,3.49,1.14
null,Normal,10,11,BoomZombie,1,SCATTER,1.96,1.16
null,Normal,10,11,RushZombie,2,SCATTER,1.96,1.16
null,Normal,10,11,ZombieMan,41,SCATTER,1.96,1.16
null,Normal,10,11,ZombieMan,34,LINE_RIGHT,1.96,1.16
null,Normal,10,11,ZzangDoleZombie,7,LINE_LEFT,1.96,1.16
null,Normal,10,12,BoomZombie,1,SCATTER,1.99,1.17
null,Normal,10,12,RushZombie,2,SCATTER,1.99,1.17
null,Normal,10,12,ZombieMan,42,SCATTER,1.99,1.17
null,Normal,10,12,ZombieMan,36,LINE_CENTER,1.99,1.17
null,Normal,10,12,ZzangDoleZombie,7,LINE_LEFT,1.99,1.17
null,Normal,10,13,BoomZombie,1,SCATTER,2.02,1.19
null,Normal,10,13,RushZombie,2,SCATTER,2.02,1.19
null,Normal,10,13,ZombieMan,43,SCATTER,2.02,1.19
null,Normal,10,13,ZombieMan,37,LINE_RIGHT,2.02,1.19
null,Normal,10,13,ZzangDoleZombie,7,LINE_LEFT,2.02,1.19
null,Normal,10,14,BoomZombie,1,SCATTER,2.04,1.21
null,Normal,10,14,RushZombie,2,SCATTER,2.04,1.21
null,Normal,10,14,ZombieMan,45,SCATTER,2.04,1.21
null,Normal,10,14,ZombieMan,38,LINE_CENTER,2.04,1.21
null,Normal,10,14,ZzangDoleZombie,7,LINE_LEFT,2.04,1.21
null,Normal,10,15,BoomZombie,1,SCATTER,2.07,1.22
null,Normal,10,15,RushZombie,2,SCATTER,2.07,1.22
null,Normal,10,15,ZombieMan,46,SCATTER,2.07,1.22
null,Normal,10,15,ZombieMan,39,LINE_RIGHT,2.07,1.22
null,Normal,10,15,ZzangDoleZombie,7,LINE_LEFT,2.07,1.22
null,Normal,10,16,BoomZombie,1,SCATTER,2.09,1.24
null,Normal,10,16,RushZombie,2,SCATTER,2.09,1.24
null,Normal,10,16,ZombieMan,47,SCATTER,2.09,1.24
null,Normal,10,16,ZombieMan,41,LINE_CENTER,2.09,1.24
null,Normal,10,16,ZzangDoleZombie,7,LINE_LEFT,2.09,1.24
null,Normal,10,17,BoomZombie,1,SCATTER,2.12,1.25
null,Normal,10,17,RushZombie,2,SCATTER,2.12,1.25
null,Normal,10,17,ZombieMan,49,SCATTER,2.12,1.25
null,Normal,10,17,ZombieMan,42,LINE_RIGHT,2.12,1.25
null,Normal,10,17,ZzangDoleZombie,7,LINE_LEFT,2.12,1.25
null,Normal,10,18,BoomZombie,1,SCATTER,2.15,1.27
null,Normal,10,18,RushZombie,2,SCATTER,2.15,1.27
null,Normal,10,18,ZombieMan,50,SCATTER,2.15,1.27
null,Normal,10,18,ZombieMan,43,LINE_CENTER,2.15,1.27
null,Normal,10,18,ZzangDoleZombie,7,LINE_LEFT,2.15,1.27
null,Normal,10,19,BoomZombie,2,SCATTER,2.17,1.28
null,Normal,10,19,RushZombie,2,SCATTER,2.17,1.28
null,Normal,10,19,ZombieMan,51,SCATTER,2.17,1.28
null,Normal,10,19,ZombieMan,45,LINE_RIGHT,2.17,1.28
null,Normal,10,19,ZzangDoleZombie,7,LINE_LEFT,2.17,1.28
null,Normal,10,20,ZombieBoss,2,BOSS_CENTER,3.96,1.3
null,Normal,10,20,ZombieMan,24,SCATTER,2.2,1.3
null,Normal,10,20,ZombieMan,16,LINE_RIGHT,2.2,1.3
null,Normal,10,20,ZombieManBoss,2,BOSS_CENTER,3.96,1.3
null,Normal,10,20,ZzangDoleZombie,7,LINE_LEFT,2.2,1.3
null,Normal,10,20,ZzangDoleZombieBoss,2,BOSS_CENTER,3.96,1.3
null,Normal,11,1,ZombieMan,9,SCATTER,2,1.2
null,Normal,11,1,ZombieMan,8,LINE_RIGHT,2,1.2
null,Normal,11,1,ZzangDoleZombie,2,LINE_LEFT,2,1.2
null,Normal,11,2,ZombieMan,12,SCATTER,2.04,1.22
null,Normal,11,2,ZombieMan,9,LINE_CENTER,2.04,1.22
null,Normal,11,2,ZzangDoleZombie,3,LINE_LEFT,2.04,1.22
null,Normal,11,3,RushZombie,1,SCATTER,2.07,1.24
null,Normal,11,3,ZombieMan,13,SCATTER,2.07,1.24
null,Normal,11,3,ZombieMan,9,LINE_RIGHT,2.07,1.24
null,Normal,11,3,ZzangDoleZombie,3,LINE_LEFT,2.07,1.24
null,Normal,11,4,RushZombie,1,SCATTER,2.11,1.25
null,Normal,11,4,ZombieMan,13,SCATTER,2.11,1.25
