enhanceId,locKey,icon,category,role,value1,value2,value3,excludeUnits,incompatible,maxStack,priority,use,scoreTank,scoreDPS,scoreSupport,units,track,slot,statType
ENH_SAM_WAVE_1,SAM_WAVE_1,range,skill_change,all,30000,300000,0,,,1,50,1,50,50,50,Samurai,2,1,
# 검기+1: 검기 피해 증가(합산) | v1=증가%,,,,,,,,,,,,,,,,,,,
ENH_SAM_WAVE_2,SAM_WAVE_2,range,skill_change,all,200000,0,0,,,1,50,1,50,50,50,Samurai,2,2,
# 검기+2: 발사 수 증가 | v1=발사 수(개),,,,,,,,,,,,,,,,,,,
ENH_SAM_WAVE_3,SAM_WAVE_3,range,skill_change,all,20000,0,0,,,1,50,1,50,50,50,Samurai,2,3,
# 공격력 증가(스탯) | v1=공격력%,,,,,,,,,,,,,,,,,,,
ENH_SAM_ATK,SAM_ATK,attack,stat,all,150000,0,0,,,1,50,1,50,50,50,Samurai,0,1,attack
# 공격속도 증가(스탯) | v1=공격속도%,,,,,,,,,,,,,,,,,,,
ENH_SAM_ASPD,SAM_ASPD,cooldown,stat,all,150000,0,0,,,1,50,1,50,50,50,Samurai,0,2,attack_speed
# 발도: 순간참 종료 지점에서 검기 발사 | v1=검기 피해%,,,,,,,,,,,,,,,,,,,
ENH_SAM_DRAW,SAM_DRAW,special,skill_change,all,500000,0,0,,,1,50,1,50,50,50,Samurai,0,3,
# 다중 탄환: 20도 각도 추가 탄환 | v1=추가 탄환 피해%,,,,,,,,,,,,,,,,,,,
ENH_RICO_MULTI_1,RICO_MULTI_1,attack,skill_change,all,800000,0,0,,,1,50,1,50,50,50,Rico,1,1,
# 공격속도 증가(스탯) | v1=공격속도%,,,,,,,,,,,,,,,,,,,
ENH_RICO_MULTI_2,RICO_MULTI_2,cooldown,stat,all,100000,0,0,,,1,50,1,50,50,50,Rico,1,2,attack_speed
# 다중 탄환+2: 반대쪽 20도 추가 탄환 | v1=추가 탄환 피해%,,,,,,,,,,,,,,,,,,,
ENH_RICO_MULTI_3,RICO_MULTI_3,attack,skill_change,all,800000,0,0,,,1,50,1,50,50,50,Rico,1,3,
# 관통: 평타 탄환이 관통(감쇠 없음) | v1=관통 가능 적 수(명),,,,,,,,,,,,,,,,,,,
ENH_RICO_PIERCE_1,RICO_PIERCE_1,range,skill_change,all,20000,0,0,,,1,50,1,50,50,50,Rico,2,1,
# 관통+1: 평타 피해 증가(합산) | v1=증가%,,,,,,,,,,,,,,,,,,,
ENH_RICO_PIERCE_2,RICO_PIERCE_2,range,skill_change,all,300000,0,0,,,1,50,1,50,50,50,Rico,2,2,
# 관통+2: 관통 수 증가 | v1=관통 가능 적 수(명),,,,,,,,,,,,,,,,,,,
ENH_RICO_PIERCE_3,RICO_PIERCE_3,range,skill_change,all,30000,0,0,,,1,50,1,50,50,50,Rico,2,3,
# 치명타 확률(스탯) | v1=치명타 확률%,,,,,,,,,,,,,,,,,,,
ENH_RICO_CRIT,RICO_CRIT,special,stat,all,100000,0,0,,,1,50,1,50,50,50,Rico,0,1,critical_chance
# 치명타 피해(스탯) | v1=치명타 피해%,,,,,,,,,,,,,,,,,,,
ENH_RICO_CRITDMG,RICO_CRITDMG,special,stat,all,300000,0,0,,,1,50,1,50,50,50,Rico,0,2,critical_damage
# 신속 포착: 타겟 확인 발동 5→4회 | v1=발동 횟수 감소(회),,,,,,,,,,,,,,,,,,,
ENH_RICO_TRACK,RICO_TRACK,special,stat,all,10000,0,0,,,1,50,1,50,50,50,Rico,0,3,hit_gauge_reduction
# 회복 공격: 평타 시 최저 체력 아군 회복 | v1=회복량(공격력%),,,,,,,,,,,,,,,,,,,
ENH_RAD_HA_1,RAD_HA_1,heal,skill_change,all,250000,0,0,,,1,50,1,50,50,50,Radian,1,1,
# 회복 공격+1: 대상 체력 낮을수록 회복량 증가 | v1=최대 증가%(체력 0일 때),,,,,,,,,,,,,,,,,,,
ENH_RAD_HA_2,RAD_HA_2,heal,skill_change,all,500000,0,0,,,1,50,1,50,50,50,Radian,1,2,
# 회복 공격+2: 두 번째 아군도 회복 | 수치 없음,,,,,,,,,,,,,,,,,,,
ENH_RAD_HA_3,RAD_HA_3,heal,skill_change,all,0,0,0,,,1,50,1,50,50,50,Radian,1,3,
# 지속 회복(스탯): 체력의 기원 쿨다운 감소 | v1=쿨다운 감소%(음수),,,,,,,,,,,,,,,,,,,
ENH_RADIAN_SUSTAIN_1,RADIAN_SUSTAIN_1,cooldown,stat,all,-100000,0,0,,,1,50,1,50,50,50,Radian,2,1,skill_cooldown
# 지속 회복+1: 지속 회복량 증가(합산) | v1=증가%,,,,,,,,,,,,,,,,,,,
ENH_RADIAN_SUSTAIN_2,RADIAN_SUSTAIN_2,heal,skill_change,all,150000,0,0,,,1,50,1,50,50,50,Radian,2,2,
# 지속 회복+2: 두 번째 아군도 회복 | 수치 없음,,,,,,,,,,,,,,,,,,,
ENH_RADIAN_SUSTAIN_3,RADIAN_SUSTAIN_3,heal,skill_change,all,0,0,0,,,1,50,1,50,50,50,Radian,2,3,
# 공격속도 증가(스탯) | v1=공격속도%,,,,,,,,,,,,,,,,,,,
ENH_RADIAN_ASPD,RADIAN_ASPD,cooldown,stat,all,100000,0,0,,,1,50,1,50,50,50,Radian,0,1,attack_speed
# 회복량 증가(스탯): 라디안의 모든 회복 | v1=회복 효과%,,,,,,,,,,,,,,,,,,,
ENH_RADIAN_HEALPOW,RADIAN_HEALPOW,heal,stat,all,200000,0,0,,,1,50,1,50,50,50,Radian,0,2,heal_power
# 보호 회복: 체력의 기원 대상에 보호막 | v1=보호막(공격력%) v2=지속(초),,,,,,,,,,,,,,,,,,,
ENH_RADIAN_SHIELDHEAL,RADIAN_SHIELDHEAL,special,skill_change,all,800000,50000,0,,,1,50,1,50,50,50,Radian,0,3,
# 독성 폭발: 평타 광역화+중독 | v1=폭발 피해% (중독 수치는 data-skill-debuff DEBUFF_POISON 공용),,,,,,,,,,,,,,,,,,,
ENH_MAD_TOXIC_1,MAD_TOXIC_1,special,skill_change,all,500000,0,0,,,1,50,1,50,50,50,Mad,1,1,
# 독성 폭발+1: 범위 확대 | v1=범위 증가%(표기전용, 실효=체인 areaMultiplier),,,,,,,,,,,,,,,,,,,
ENH_MAD_TOXIC_2,MAD_TOXIC_2,special,skill_change,all,500000,0,0,,,1,50,1,50,50,50,Mad,1,2,
# 독성 폭발+2: 평타 피해 증가(스탯 normal_attack — 폭발·중독 자동 연동) | v1=평타 피해%,,,,,,,,,,,,,,,,,,,
ENH_MAD_TOXIC_3,MAD_TOXIC_3,special,stat,all,300000,0,0,,,1,50,1,50,50,50,Mad,1,3,normal_attack
# 중독 물약 강화: 물약 3→5개 | v1=물약 개수(개),,,,,,,,,,,,,,,,,,,
ENH_MAD_POTION_1,MAD_POTION_1,duration,skill_change,all,50000,0,0,,,1,50,1,50,50,50,Mad,2,1,
# 중독 물약 강화+1: 감속 강화(합산) | v1=감속%(음수=감속),,,,,,,,,,,,,,,,,,,
ENH_MAD_POTION_2,MAD_POTION_2,duration,skill_change,all,-150000,0,0,,,1,50,1,50,50,50,Mad,2,2,
# 중독 물약 강화+2: 중독 지속 피해 증가(합산) | v1=증가%,,,,,,,,,,,,,,,,,,,
ENH_MAD_POTION_3,MAD_POTION_3,duration,skill_change,all,50000,0,0,,,1,50,1,50,50,50,Mad,2,3,
# 공격 속도 증가(스탯) | v1=공격속도%,,,,,,,,,,,,,,,,,,,
ENH_MAD_ASPD,MAD_ASPD,cooldown,stat,all,100000,0,0,,,1,50,1,50,50,50,Mad,0,1,attack_speed
# 공격력 증가(스탯) | v1=공격력%,,,,,,,,,,,,,,,,,,,
ENH_MAD_ATK,MAD_ATK,attack,stat,all,150000,0,0,,,1,50,1,50,50,50,Mad,0,2,attack
# 스킬 쿨타임 감소(스탯) | v1=쿨다운 감소%(음수),,,,,,,,,,,,,,,,,,,
ENH_MAD_CD,MAD_CD,cooldown,stat,all,-100000,0,0,,,1,50,1,50,50,50,Mad,0,3,skill_cooldown
