unitCode,level,descKey,param0_source,param1_source,param2_source,param3_source,param4_source,param5_source,param6_source,param7_source,notes
Commander,999,unit.Commander.awakening.desc,CHAIN_SA_001.value,CHAIN_SA_001.duration,CHAIN_CMD_AWK.value,,,,,,보호막%/지속시간/게이지%
# Ballerina - SKILL_TRIPLE_AXEL (트리플 악셀)
Ballerina,0,unit.Ballerina.skill.desc,CHAIN_TA_001.value,CHAIN_TA_002.duration,,,,,,,,피해%/스턴 시간(초)
Ballerina,10,unit.Ballerina.breakthrough_10.desc,CHAIN_TA_003_L10.value,CHAIN_TA_003_L10.duration,,,,,,보호막%/지속시간(초)
Ballerina,30,unit.Ballerina.breakthrough_30.desc,CHAIN_TA_001_L30.value,,,,,,,,피해% 추가 (증분값)
Ballerina,50,unit.Ballerina.breakthrough_50.desc,CHAIN_TA_002_L50.duration,,,,,,,,스턴 추가 시간(초)
Ballerina,999,unit.Ballerina.awakening.desc,CHAIN_TA_001.value,CHAIN_TA_002.duration,,,,,,,,피해%/스턴시간
# Pirate - SKILL_PIRATE_POISON_SLASH (독 칼 휘두르기)
Pirate,0,unit.Pirate.skill.desc,CHAIN_PIRATE_001.value,CHAIN_PIRATE_002.duration,,,,,,,,피해%/스턴 시간(초)
Pirate,10,unit.Pirate.breakthrough_10.desc,CHAIN_PIRATE_001_L10.areaMultiplier@percent_inv,,,,,,,,범위 증가%
Pirate,30,unit.Pirate.breakthrough_30.desc,CHAIN_PIRATE_001_L30.value,,,,,,,,피해% 추가 (증분값)
Pirate,50,unit.Pirate.breakthrough_50.desc,CHAIN_PIRATE_002_L50.duration,,,,,,,,스턴 추가 시간(초)
Pirate,999,unit.Pirate.awakening.desc,CHAIN_PIRATE_001.value,CHAIN_PIRATE_002.duration,CHAIN_PIRATE_001_AWK.areaMultiplier@percent_inv,,,,,,,피해%/스턴시간/범위증가%
# Diver - SKILL_DIVER_WATER_SHIELD (물방울 무적)
Diver,0,unit.Diver.skill.desc,CHAIN_DIVER_001.duration,,,,,,,,무적 시간(초)
Diver,10,unit.Diver.breakthrough_10.desc,CHAIN_DIVER_002_L10.value,,,,,,,,회복%
Diver,30,unit.Diver.breakthrough_30.desc,CHAIN_DIVER_003_L30.value,CHAIN_DIVER_003_L30.duration,,,,,,보호막%/지속시간(초)
Diver,50,unit.Diver.breakthrough_50.desc,CHAIN_DIVER_004_L50.value,,,,,,,,피해감소%
Diver,999,unit.Diver.awakening.desc,CHAIN_DIVER_001.duration+CHAIN_DIVER_001_AWK.duration,,,,,,,,무적시간(합산)
# Samurai - SKILL_FLASH_SLASH (섬광 베기)
Samurai,0,unit.Samurai.skill.desc,CHAIN_FS_002.value,,,,,,,,"기본 피해%"
Samurai,10,unit.Samurai.breakthrough_10.desc,CHAIN_FS_002_L10.value,,,,,,,,피해% 추가 (증분값)
Samurai,30,unit.Samurai.breakthrough_30.desc,CHAIN_FS_003_L30.params.probability,CHAIN_FS_003_L30.params.cooldown,,,,,,확률%/쿨다운(초)
Samurai,50,unit.Samurai.breakthrough_50.desc,CHAIN_FS_003_L50.params.probability,,,,,,,,확률%
Samurai,999,unit.Samurai.awakening.desc,CHAIN_FS_002.value,CHAIN_FS_004_AWK.params.heal_percent,CHAIN_FS_004_AWK.params.max_heal_cap,,,,,,피해%/흡수%/최대흡수%
# Chainsaw - SKILL_CHAINSAW_WHIRLWIND (전기톱 회전)
Chainsaw,0,unit.Chainsaw.skill.desc,CHAIN_CSW_001.value,,,,,,,,기본 피해%
Chainsaw,10,unit.Chainsaw.breakthrough_10.desc,CHAIN_CSW_002_L10.params.heal_percent,CHAIN_CSW_002_L10.params.max_heal_cap,,,,,,회복%/최대 회복%
Chainsaw,30,unit.Chainsaw.breakthrough_30.desc,CHAIN_CSW_001_L30.value,,,,,,,,피해% 추가 (증분값)
Chainsaw,50,unit.Chainsaw.breakthrough_50.desc,CHAIN_CSW_003_L50.value,,,,,,,,보호막%
Chainsaw,999,unit.Chainsaw.awakening.desc,CHAIN_CSW_001.value,,,,,,,,피해%
# Assassin - SKILL_ASSASSINATE (암살)
Assassin,0,unit.Assassin.skill.desc,CHAIN_ASS_002.value,,,,,,,,피해%
Assassin,10,unit.Assassin.breakthrough_10.desc,CHAIN_ASS_003_L10.params.probability,CHAIN_ASS_003_L10.params.probability,,,,,,,즉사확률%/보스확률%
Assassin,30,unit.Assassin.breakthrough_30.desc,CHAIN_ASS_004_L30.params.heal_percent,,,,,,,,회복%
Assassin,50,unit.Assassin.breakthrough_50.desc,CHAIN_ASS_003_L50.params.probability,CHAIN_ASS_003_L50.params.probability,,,,,,,즉사확률%/보스확률%
Assassin,999,unit.Assassin.awakening.desc,CHAIN_ASS_002.value,CHAIN_ASS_005_AWK.params.heal_percent,,,,,,,,피해%/흡수%
# Sweaty - SKILL_TOXIC_AURA (독성 오라)
Sweaty,0,unit.Sweaty.skill.desc,CHAIN_TOXIC_002.value,,,,,,,,기본 피해%
Sweaty,10,unit.Sweaty.breakthrough_10.desc,CHAIN_TOXIC_001_L10.params.range_multiplier@percent_inv,,,,,,,,범위 증가%
Sweaty,30,unit.Sweaty.breakthrough_30.desc,CHAIN_TOXIC_003_L30.params.heal_percent,,,,,,,,회복%
Sweaty,50,unit.Sweaty.breakthrough_50.desc,CHAIN_TOXIC_004_L50.value,,,,,,,,이동속도% (영구)
Sweaty,999,unit.Sweaty.awakening.desc,CHAIN_TOXIC_002.value+CHAIN_TOXIC_002_AWK.value,,,,,,,,피해%(합산)
# Martial - PASSIVE_Martial (약점 공격)
Martial,0,unit.Martial.skill.desc,CHAIN_MARTIAL_001.value,,,,,,,,크리티컬 확률%p
Martial,10,unit.Martial.breakthrough_10.desc,CHAIN_MARTIAL_L10.value,,,,,,,,공격속도%
Martial,30,unit.Martial.breakthrough_30.desc,CHAIN_MARTIAL_L30.value,,,,,,,,공격력%
Martial,50,unit.Martial.breakthrough_50.desc,CHAIN_MARTIAL_L50.value,,,,,,,,받는 피해%
Martial,999,unit.Martial.awakening.desc,CHAIN_MARTIAL_001.value,CHAIN_MARTIAL_AWK.value,,,,,,,,크리확률/크리데미지
# Squad - SKILL_FLASHBANG (섬광탄)
Squad,0,unit.Squad.skill.desc,CHAIN_FLASHBANG_002.value,CHAIN_FLASHBANG_003.duration,,,,,,,,피해%/혼란 시간(초)
Squad,10,unit.Squad.breakthrough_10.desc,CHAIN_FLASHBANG_003_L10.params.attack_speed_bonus,,,,,,,,공격속도 증가%
Squad,30,unit.Squad.breakthrough_30.desc,CHAIN_FLASHBANG_002_L30.value,,,,,,,,피해% 증가 (증분값)
Squad,50,unit.Squad.breakthrough_50.desc,CHAIN_FLASHBANG_004_L50.value,CHAIN_FLASHBANG_004_L50.duration,,,,,,공격속도%/지속시간(초)
Squad,999,unit.Squad.awakening.desc,CHAIN_FLASHBANG_002.value,CHAIN_FLASHBANG_003.duration+CHAIN_FLASHBANG_003_AWK.duration,,,,,,,,피해%/혼란시간(합산)
# Mad - SKILL_HEALING_POTION (치유 물약)
Mad,0,unit.Mad.skill.desc,CHAIN_HP_001.params.max_targets,CHAIN_HP_001.value,,,,,,,,최대 대상 수/회복%
Mad,10,unit.Mad.breakthrough_10.desc,CHAIN_HP_002_L10.value,,,,,,,,폭발 피해%
Mad,30,unit.Mad.breakthrough_30.desc,CHAIN_HP_003_L30.duration,CHAIN_HP_003_L30.tickInterval,CHAIN_HP_003_L30.value,,,,,,지속시간(초)/틱간격(초)/피해%
Mad,50,unit.Mad.breakthrough_50.desc,CHAIN_HP_001_L50.value,,,,,,,,회복량&피해량 증가% (증분값)
Mad,999,unit.Mad.awakening.desc,CHAIN_HP_001.params.max_targets+CHAIN_HP_005_AWK.params.max_targets,CHAIN_HP_001.value,,,,,,,,대상수(합산)/회복%
# Hacker - SKILL_HACKER_SHIELD (보호막 부여)
Hacker,0,unit.Hacker.skill.desc,CHAIN_HACKER_002.value,CHAIN_HACKER_002.duration,,,,,,,,보호막%/지속시간(초)
Hacker,10,unit.Hacker.breakthrough_10.desc,CHAIN_HACKER_003_L10.value,,,,,,,,피해 감소%
Hacker,30,unit.Hacker.breakthrough_30.desc,,,,,,,,,자가 보호막 (파라미터 없음)
Hacker,50,unit.Hacker.breakthrough_50.desc,CHAIN_HACKER_002_L50.value,,,,,,,,보호막 추가% (증분값)
Hacker,999,unit.Hacker.awakening.desc,CHAIN_HACKER_002.value,CHAIN_HACKER_002.duration,CHAIN_HACKER_005_AWK.value,,,,,,보호막%/지속시간/회복%
# Snake - SKILL_SNAKE_ATTACK_SPEED_BUFF (공격속도 버프)
Snake,0,unit.Snake.skill.desc,CHAIN_SNAKE_001.params.max_targets,CHAIN_SNAKE_002.duration,CHAIN_SNAKE_002.value,,,,,,대상 수/지속시간(초)/공격속도%
Snake,10,unit.Snake.breakthrough_10.desc,CHAIN_SNAKE_003_L10.value,,,,,,,,공격력%
Snake,30,unit.Snake.breakthrough_30.desc,CHAIN_SNAKE_004_L30.value,,,,,,,,회복%
Snake,50,unit.Snake.breakthrough_50.desc,CHAIN_SNAKE_001_L50.params.max_targets@increment,CHAIN_SNAKE_001_L50.params.max_targets,,,,,,추가 대상 수/최대 대상 수
Snake,999,unit.Snake.awakening.desc,CHAIN_SNAKE_001.params.max_targets,CHAIN_SNAKE_002.duration,CHAIN_SNAKE_002.value,CHAIN_SNAKE_005_AWK.value,,,,,대상수/지속시간/공속%/이속%
# Amelzia - SKILL_AMELZIA_MOLOTOV (화염병 투척)
Amelzia,0,unit.Amelzia.skill.desc,CHAIN_AM_002.value,,,,,,,,범위 피해%
Amelzia,10,unit.Amelzia.breakthrough_10.desc,CHAIN_AM_L10.value,,,,,,,,공격력 증가%
Amelzia,30,unit.Amelzia.breakthrough_30.desc,CHAIN_AM_002_L30.value,,,,,,,,스킬 피해량 추가%
Amelzia,50,unit.Amelzia.breakthrough_50.desc,CHAIN_AM_L50.value,,,,,,,,공격력 증가%
Amelzia,999,unit.Amelzia.awakening.desc,CHAIN_AM_001_AWK.params.scatter_count,CHAIN_AM_002_AWK.value+CHAIN_AM_002.value,,,,,,화염병 개수/피해%(합산)
# Radian - SKILL_RADIAN_HEAL (체력의 기원)
Radian,0,unit.Radian.skill.desc,CHAIN_RH_001.value,,,,,,,,회복%
Radian,10,unit.Radian.breakthrough_10.desc,CHAIN_RH_L10.value,,,,,,,,공격속도%
Radian,30,unit.Radian.breakthrough_30.desc,CHAIN_RH_001_L30.value,,,,,,,,회복량 추가%
Radian,50,unit.Radian.breakthrough_50.desc,CHAIN_RH_001_L50.value,,,,,,,,회복량 추가%
Radian,999,unit.Radian.awakening.desc,CHAIN_RH_001.value+CHAIN_RH_001_AWK.value,,,,,,,,회복%(합산)
# Monchesto - SKILL_MONCHESTO_SPIN (리듬 회전격)
Monchesto,0,unit.Monchesto.skill.desc,CHAIN_MS_001.value,,,,,,,,피해%
Monchesto,10,unit.Monchesto.breakthrough_10.desc,CHAIN_MS_L10.value,,,,,,,,공격력%
Monchesto,30,unit.Monchesto.breakthrough_30.desc,CHAIN_MS_L30.value,,,,,,,,공격속도%
Monchesto,50,unit.Monchesto.breakthrough_50.desc,CHAIN_MS_L50.value,,,,,,,,체력%
Monchesto,999,unit.Monchesto.awakening.desc,CHAIN_MS_001.value+CHAIN_MS_001_AWK.value,CHAIN_MS_002_AWK.duration,,,,,,피해%(합산)/스턴시간
# Shutyan - SKILL_SHUTYAN_FRENZY (분노)
Shutyan,0,unit.Shutyan.skill.desc,CHAIN_SF_001.value,,,,,,,,공격속도%
Shutyan,10,unit.Shutyan.breakthrough_10.desc,CHAIN_SF_L10.value,,,,,,,,공격력%
Shutyan,30,unit.Shutyan.breakthrough_30.desc,CHAIN_SF_L30.value,,,,,,,,체력%
Shutyan,50,unit.Shutyan.breakthrough_50.desc,CHAIN_SF_L50.value,,,,,,,,공격속도%
Shutyan,999,unit.Shutyan.awakening.desc,CHAIN_SF_001.value+CHAIN_SF_001_AWK.value,,,,,,,,공격속도%(합산)
# Turando - SKILL_TURANDO_HEAL (철벽)
Turando,0,unit.Turando.skill.desc,CHAIN_TH_001.value,,,,,,,,회복%
Turando,10,unit.Turando.breakthrough_10.desc,CHAIN_TH_L10.value,,,,,,,,방어력%
Turando,30,unit.Turando.breakthrough_30.desc,CHAIN_TH_L30.value,,,,,,,,체력%
Turando,50,unit.Turando.breakthrough_50.desc,CHAIN_TH_L50.value,,,,,,,,공격력%
Turando,999,unit.Turando.awakening.desc,CHAIN_TH_001.value+CHAIN_TH_001_AWK.value,,,,,,,,회복%(합산)
# Zeta - SKILL_ZETA_PIERCE (찌르기)
Zeta,0,unit.Zeta.skill.desc,CHAIN_ZP_001.value,,,,,,,,피해%
Zeta,10,unit.Zeta.breakthrough_10.desc,CHAIN_ZP_L10.value,,,,,,,,공격력%
Zeta,30,unit.Zeta.breakthrough_30.desc,CHAIN_ZP_L30.value,,,,,,,,체력%
Zeta,50,unit.Zeta.breakthrough_50.desc,CHAIN_ZP_L50.value,,,,,,,,공격속도%
Zeta,999,unit.Zeta.awakening.desc,CHAIN_ZP_001.value+CHAIN_ZP_001_AWK.value,,,,,,,,피해%(합산)
# Modoo - SKILL_MODOO_SHIELD (방어지원)
Modoo,0,unit.Modoo.skill.desc,CHAIN_MDS_001.value,,,,,,,,쉴드%
Modoo,10,unit.Modoo.breakthrough_10.desc,CHAIN_MDS_L10.value,,,,,,,,체력%
Modoo,30,unit.Modoo.breakthrough_30.desc,5,,,,,,,,쿨타임 감소% (고정값)
Modoo,50,unit.Modoo.breakthrough_50.desc,20,,,,,,,,공격속도% (고정값)
Modoo,999,unit.Modoo.awakening.desc,CHAIN_MDS_001.value+CHAIN_MDS_001_AWK.value,,,,,,,,쉴드%(합산)
# Huma - SKILL_HUMA_FRENZY (내면개방)
Huma,0,unit.Huma.skill.desc,CHAIN_HF_001.value,CHAIN_HF_002.value,,,,,,,공속%/이속%
Huma,10,unit.Huma.breakthrough_10.desc,CHAIN_HF_L10.value,,,,,,,,체력%
Huma,30,unit.Huma.breakthrough_30.desc,5,,,,,,,,쿨타임 감소% (고정값)
Huma,50,unit.Huma.breakthrough_50.desc,20,,,,,,,,공격속도% (고정값)
Huma,999,unit.Huma.awakening.desc,CHAIN_HF_001.value+CHAIN_HF_001_AWK.value,CHAIN_HF_002.value+CHAIN_HF_002_AWK.value,,,,,,,공속%(합산)/이속%(합산)
# Scalar - SKILL_SCALAR_BUFF (응원 구호)
Scalar,0,unit.Scalar.skill.desc,CHAIN_SCB_001.value,,,,,,,,공격력 증가%
Scalar,10,unit.Scalar.breakthrough_10.desc,CHAIN_SCB_L10.value,,,,,,,,체력%
Scalar,30,unit.Scalar.breakthrough_30.desc,CHAIN_SCB_L30.value,,,,,,,,공격속도%
Scalar,50,unit.Scalar.breakthrough_50.desc,CHAIN_SCB_L50.value,,,,,,,,쿨타임 감소%
Scalar,999,unit.Scalar.awakening.desc,CHAIN_SCB_001.value+CHAIN_SCB_001_AWK.value,CHAIN_SCB_002_AWK.value,,,,,,,공격력%(합산)/회복%
# Serventina - SKILL_SERVENTINA_FRENZY (광폭화)
Serventina,0,unit.Serventina.skill.desc,CHAIN_SVF_001.value,CHAIN_SVF_003.value,CHAIN_SVF_002.value,,,,,,공속%/흡혈%/이속%
Serventina,10,unit.Serventina.breakthrough_10.desc,CHAIN_SVF_L10.value,,,,,,,,공격속도%
Serventina,30,unit.Serventina.breakthrough_30.desc,CHAIN_SVF_L30.value,,,,,,,,공격력%
Serventina,50,unit.Serventina.breakthrough_50.desc,CHAIN_SVF_L50.value,,,,,,,,체력%
Serventina,999,unit.Serventina.awakening.desc,CHAIN_SVF_001.value+CHAIN_SVF_001_AWK.value,CHAIN_SVF_003.value+CHAIN_SVF_003_AWK.value,CHAIN_SVF_002.value+CHAIN_SVF_002_AWK.value,,,,,,공속%/흡혈%/이속%(합산)
# Andrew - SKILL_ANDREW_STRIKE (타켓지정)
Andrew,0,unit.Andrew.skill.desc,CHAIN_AS_001.value,,,,,,,,피해%
Andrew,10,unit.Andrew.breakthrough_10.desc,CHAIN_AS_L10.value,,,,,,,,공격력%
Andrew,30,unit.Andrew.breakthrough_30.desc,CHAIN_AS_L30.value,,,,,,,,체력%
Andrew,50,unit.Andrew.breakthrough_50.desc,CHAIN_AS_L50.value,,,,,,,,공격력%
Andrew,999,unit.Andrew.awakening.desc,CHAIN_AS_001.value+CHAIN_AS_001_AWK.value,CHAIN_AS_002_AWK.value,,,,,,,피해%(합산)/회복%
# Police - SKILL_BARRICADE (방벽 소환)
Police,0,unit.Police.skill.desc,CHAIN_BARRICADE_001.params.health_percent,CHAIN_BARRICADE_001.params.doll_duration,,,,,,,방벽HP%/지속시간(초)
Police,10,unit.Police.breakthrough_10.desc,CHAIN_BARRICADE_001_L10.params.health_percent,,,,,,,,방벽HP%(증가값)
Police,30,unit.Police.breakthrough_30.desc,CHAIN_BARRICADE_001_L30.params.doll_duration,,,,,,,,지속시간(초)
Police,50,unit.Police.breakthrough_50.desc,CHAIN_BARRICADE_001_L50.params.health_percent,,,,,,,,방벽HP%
Police,999,unit.Police.awakening.desc,CHAIN_BARRICADE_001.params.health_percent,CHAIN_BARRICADE_001.params.doll_duration,CHAIN_BARRICADE_AWK.value,CHAIN_BARRICADE_AWK.duration,,,,,방벽HP%/방벽지속시간/보호막%/보호막지속시간
# Zalts - SKILL_ZALTS_HEAL (용사탄생)
# Rico - SKILL_RICO_STRIKE (5타 집중타격)
Rico,0,unit.Rico.skill.desc,CHAIN_RS_001.value,,,,,,,,피해%
Rico,10,unit.Rico.breakthrough_10.desc,CHAIN_RC_L10.value,,,,,,,,공격력%
Rico,30,unit.Rico.breakthrough_30.desc,CHAIN_RC_L30.value,,,,,,,,사거리(+)
Rico,50,unit.Rico.breakthrough_50.desc,CHAIN_RC_L50.value,,,,,,,,공격속도%
Rico,999,unit.Rico.awakening.desc,CHAIN_RS_001_AWK.value,,,,,,,,피해%(각성)
# Zalts - SKILL_ZALTS_HEAL (용사탄생)
Zalts,0,unit.Zalts.skill.desc,CHAIN_ZH_001.value,CHAIN_ZP_001.value,,,,,,,회복%/쉴드량
Zalts,10,unit.Zalts.breakthrough_10.desc,CHAIN_ZP_L10.value,,,,,,,,최대체력%
Zalts,30,unit.Zalts.breakthrough_30.desc,CHAIN_ZP_L30.value,,,,,,,,회복효율%
Zalts,50,unit.Zalts.breakthrough_50.desc,CHAIN_ZP_L50.value,,,,,,,,방어력%
Zalts,999,unit.Zalts.awakening.desc,CHAIN_ZH_001_AWK.value,CHAIN_ZP_001_AWK.value,,,,,,,회복%(각성)/쉴드량(각성)
