null,code,type,health,attackPower,attackSpeed,attackRange,moveSpeed,skillSpeed,skillId,basicAttackSkillId,deathSkillId,addressableKey,attackVfxType,projectileOffsetX,projectileOffsetY,baseScale,animationIdle,animationMove,animationAttack,truckDamage,criticalChance,criticalDamage,use
null,DefTankZombie,Normal,800,20,2000,1,5000,0,PASSIVE_DEFTANK_SHIELD,,,Assets/CharacterPrefabs/Character_20260331_145352.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,VudooZombie,Normal,600,40,8000,5,12000,60000,SKILL_VUDOO_HEAL,SKILL_BASIC_FIREBALL_BLUE,,Assets/CharacterPrefabs/Character_20260331_145427.prefab,,,,5500,Idle,Walk,Gun_atk1,30,500,15000,1
null,VudootwoZombie,Normal,600,40,8000,4,10000,60000,SKILL_VUDOOTWO_SHIELD,SKILL_BASIC_SNAKE,,Assets/CharacterPrefabs/Character_20260331_145435.prefab,,,,5500,Idle,Walk,Gun_atk1,30,500,15000,1
null,SheildTankZombie,Normal,800,20,3000,1,13000,0,PASSIVE_SHEILDTANK_SHIELD,,,Assets/CharacterPrefabs/Character_20260331_145536.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,AssasineZombie,Normal,800,100,18000,1,20000,0,,,,Assets/CharacterPrefabs/Character_20260331_145648.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,CheifZombie,Normal,400,50,8000,6,8000,50000,SKILL_CHEIF_HEAL,SKILL_BASIC_BULLET,,Assets/CharacterPrefabs/Character_20260331_145910.prefab,,,,5500,Idle,Walk,Gun_atk2,30,500,15000,1
null,PoliceKnightZombie,Normal,900,40,3000,1,5000,0,PASSIVE_POLICEKNIGHT_SHIELD,,,Assets/CharacterPrefabs/Character_20260331_150009.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,BlueGlobeZombie,Normal,1000,70,10000,1,10000,0,,,,Assets/CharacterPrefabs/Character_20260331_150154.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,GentlemanZombie,Normal,1000,70,8000,4,30000,80000,SKILL_GENTLEMAN_HEAL,SKILL_BASIC_SNAKE,,Assets/CharacterPrefabs/Character_20260331_150234.prefab,,,,5500,Idle,Run,Gun_atk1,30,500,15000,1
null,WorkerZombie,Boss,14125,81,10000,1,15000,0,,,,Assets/CharacterPrefabs/Character_20260331_150325.prefab,,,,17000,Idle,Run,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,ArmoredZombie,Normal,3000,60,3000,1,10000,80000,SKILL_ARMORED_TAUNT,,,Assets/CharacterPrefabs/Character_20260331_150502.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,AngryRagZombie,Normal,500,50,10000,6,15000,0,,SKILL_BASIC_ROCKET,,Assets/CharacterPrefabs/Character_20260331_150704.prefab,,,,5500,Idle,Walk,Gun_atk2,30,500,15000,1
null,AngryRushZombie,Normal,500,90,10000,1,10000,0,,,,Assets/CharacterPrefabs/Character_20260331_150919.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,MadJKZombie,Normal,1000,60,8000,6,8000,60000,SKILL_MADJK_HEAL,SKILL_BASIC_MAD,,Assets/CharacterPrefabs/Character_20260331_151139.prefab,,,,5500,Idle,Walk,Gun_atk1,30,500,15000,1
null,MadJackZombie,Normal,500,50,13000,4,20000,0,,SKILL_BASIC_BULLET,,Assets/CharacterPrefabs/Character_20260331_151312.prefab,,,,5500,Idle,Run,Gun_atk1,30,500,15000,1
null,MadKnightZombie,Normal,800,40,10000,1,10000,70000,SKILL_MADKNIGHT_STUN,,,Assets/CharacterPrefabs/Character_20260331_151520.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,YeahMagZombie,Boss,11500,150,10000,4,10000,60000,SKILL_YEAHMAG_LIGHTNING,SKILL_BASIC_MAD,,Assets/CharacterPrefabs/Character_20260331_151714.prefab,,,,17000,Idle,Walk,Gun_atk4,300,500,20000,1
null,YeahArchorZombie,Normal,400,40,20000,7,20000,0,,SKILL_BASIC_SNAKE,,Assets/CharacterPrefabs/Character_20260331_151834.prefab,,,,5500,Idle,Run,Gun_atk2,30,500,15000,1
null,DoctorZombie,Boss,11300,69,8000,3,10000,50000,SKILL_DOCTOR_HEAL,SKILL_BASIC_MAD,,Assets/CharacterPrefabs/Character_20260331_151939.prefab,,,,17000,Idle,Walk,Gun_atk1,300,500,20000,1
null,BabaZombie,Normal,3000,60,10000,1,20000,80000,SKILL_BABA_SELFHEAL,,,Assets/CharacterPrefabs/Character_20260331_152140.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,JokerZombie,Normal,1000,100,10000,1,30000,0,,,,Assets/CharacterPrefabs/Character_20260331_152353.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,POShieldZombie,Boss,12750,163,3000,1,10000,100000,SKILL_POSHIELD_PUSH,,,Assets/CharacterPrefabs/Character_20260331_152621.prefab,,,,17000,Idle,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,MaskKnifeZombie,Normal,600,100,10000,1,13000,80000,SKILL_MASKKNIFE_ASSASSINATE,,,Assets/CharacterPrefabs/Character_20260403_092537.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,HammerZombie,Normal,900,75,7000,1,8000,70000,SKILL_HAMMER_BASH,,,Assets/CharacterPrefabs/Character_20260403_093017.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,AxSkullZombie,Normal,700,90,10000,1,18000,70000,SKILL_AXSKULL_SHIELD,,,Assets/CharacterPrefabs/Character_20260403_093415.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,BatSkullZombie,Boss,11375,173,8000,1,10000,60000,SKILL_BATSKULL_PUSH,,,Assets/CharacterPrefabs/Character_20260403_093617.prefab,,,,17000,Idle,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,NativeZombie,Normal,1800,40,10000,4,5000,90000,SKILL_NATIVE_BUFF,SKILL_BASIC_MAD,,Assets/CharacterPrefabs/Character_20260403_094239.prefab,,,,5500,Idle,Walk,Gun_atk1,30,500,15000,1
null,AdvandMagZombie,Normal,1500,95,9000,7,10000,80000,SKILL_ADVMAG_MOLOTOV,SKILL_BASIC_AMELZIA,,Assets/CharacterPrefabs/Character_20260403_094713.prefab,,,,5500,Idle,Walk,Gun_atk4,30,500,15000,1
null,AdvandMagBossZombie,Boss,9250,127,9000,7,10000,80000,SKILL_ADVMAGBOSS_LIGHTNING,SKILL_BASIC_LIGHTNING,,Assets/CharacterPrefabs/Character_20260403_095204.prefab,,,,17000,Idle,Walk,Gun_atk4,300,500,20000,1
null,WarriorZombie,Normal,3000,60,9000,1,9000,70000,SKILL_WARRIOR_SHIELD,,,Assets/CharacterPrefabs/Character_20260403_095706.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,WarriorTwoZombie,Normal,1500,90,10000,1,13000,100000,SKILL_WARRIOR_FRENZY,,,Assets/CharacterPrefabs/Character_20260403_100001.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,AdvArmoredZombie,Normal,4000,30,9000,1,7000,70000,PASSIVE_ADVARMORED_SHIELD,,,Assets/CharacterPrefabs/Character_20260403_100248.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,HighArmoredBossZombie,Boss,11000,92,9000,1,8000,100000,PASSIVE_HIGHARMORED_SHIELD,,,Assets/CharacterPrefabs/Character_20260403_100541.prefab,,,,17000,Idle,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,AdvKnifeZombie,Normal,500,200,15000,1,14000,0,,,,Assets/CharacterPrefabs/Character_20260403_100851.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,AdvKnifePotionZombie,Normal,650,160,13000,1,16000,70000,SKILL_ADVKNIFE_SELFHEAL,,,Assets/CharacterPrefabs/Character_20260403_101316.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,MaceZombie,Normal,1400,80,9000,4,9000,70000,SKILL_MACE_HEAL,SKILL_BASIC_BULLET,,Assets/CharacterPrefabs/Character_20260403_101649.prefab,,,,5500,Idle,Walk,Gun_atk2,30,500,15000,1
null,RedPunchZombie,Normal,1000,70,12000,1,15000,0,,,,Assets/CharacterPrefabs/Character_20260403_101950.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,SFUZombie,Normal,500,300,5000,8,10000,0,,SKILL_BASIC_ROCKET,,Assets/CharacterPrefabs/Character_20260403_102314.prefab,,,,5500,Idle,Walk,Gun_atk4,30,500,15000,1
null,BasketZombie,Normal,1000,70,10000,1,12000,0,,,,Assets/CharacterPrefabs/Character_20260403_102632.prefab,,,,5500,Idle,Run,Attack3,30,500,15000,1
null,NeighborZombie,Normal,1800,80,10000,1,9000,0,,,,Assets/CharacterPrefabs/Character_20260403_102915.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,AdvBuskerZombie,Boss,10500,150,10000,1,10000,100000,SKILL_ADVBUSKER_FRENZY,,,Assets/CharacterPrefabs/Character_20260403_103211.prefab,,,,17000,Idle,Walk,Attack_Boss_Smash Attack_Boss_Stomp Attack_Boss_Lurch,300,500,20000,1
null,AdvArmoredTwoZombie,Normal,3000,60,9000,1,8000,0,PASSIVE_ADVARMOREDTWO_SHIELD,,,Assets/CharacterPrefabs/Character_20260403_103414.prefab,,,,5500,Idle,Walk,Attack3,30,500,15000,1
null,AdvSupZombie,Normal,1000,70,10000,5,8000,100000,SKILL_ADVSUP_ASPD_BUFF,SKILL_BASIC_FIREBALL_BLUE,,Assets/CharacterPrefabs/Character_20260403_103642.prefab,,,,5500,Idle,Walk,Gun_atk1,30,500,15000,1
