mode,stage,reward_type,reward_amount,wave_reward_multiplier,star1_reward_type,star1_reward_amount,star2_reward_type,star2_reward_amount,star3_reward_type,star3_reward_amount,patrol_gold_per_min,patrol_exp_per_min,patrol_shard_per_min,base_gold,base_stone,base_exp
Boss,20,"player_exp,enchantment_shard_blue","250,119",,,,,,,,,,,0,0,0
Boss,21,"player_exp,enchantment_shard_blue","260,124",,,,,,,,,,,0,0,0
Boss,22,"player_exp,enchantment_shard_blue","270,129",,,,,,,,,,,0,0,0
Boss,23,"player_exp,enchantment_shard_blue","280,134",,,,,,,,,,,0,0,0
Boss,24,"player_exp,enchantment_shard_blue","290,139",,,,,,,,,,,0,0,0
Boss,25,"player_exp,enchantment_shard_blue","300,144",,,,,,,,,,,0,0,0
Boss,26,"player_exp,enchantment_shard_blue","310,149",,,,,,,,,,,0,0,0
Boss,27,"player_exp,enchantment_shard_blue","320,154",,,,,,,,,,,0,0,0
Boss,28,"player_exp,enchantment_shard_blue","330,159",,,,,,,,,,,0,0,0
Boss,29,"player_exp,enchantment_shard_blue","340,164",,,,,,,,,,,0,0,0
Boss,30,"player_exp,enchantment_shard_blue","350,169",,,,,,,,,,,0,0,0
Monster,1,"player_exp,enchantment_shard_green","60,24",,,,,,,,,,,0,0,0
Monster,2,"player_exp,enchantment_shard_green","70,29",,,,,,,,,,,0,0,0
Monster,3,"player_exp,enchantment_shard_green","80,34",,,,,,,,,,,0,0,0
Monster,4,"player_exp,enchantment_shard_green","90,39",,,,,,,,,,,0,0,0
Monster,5,"player_exp,enchantment_shard_green","100,44",,,,,,,,,,,0,0,0
Monster,6,"player_exp,enchantment_shard_green","110,49",,,,,,,,,,,0,0,0
Monster,7,"player_exp,enchantment_shard_green","120,54",,,,,,,,,,,0,0,0
Monster,8,"player_exp,enchantment_shard_green","130,59",,,,,,,,,,,0,0,0
Monster,9,"player_exp,enchantment_shard_green","140,64",,,,,,,,,,,0,0,0
Monster,10,"player_exp,enchantment_shard_green","150,69",,,,,,,,,,,0,0,0
Monster,11,"player_exp,enchantment_shard_green","160,74",,,,,,,,,,,0,0,0
Monster,12,"player_exp,enchantment_shard_green","170,79",,,,,,,,,,,0,0,0
Monster,13,"player_exp,enchantment_shard_green","180,84",,,,,,,,,,,0,0,0
Monster,14,"player_exp,enchantment_shard_green","190,89",,,,,,,,,,,0,0,0
Monster,15,"player_exp,enchantment_shard_green","200,94",,,,,,,,,,,0,0,0
Monster,16,"player_exp,enchantment_shard_green","210,99",,,,,,,,,,,0,0,0
Monster,17,"player_exp,enchantment_shard_green","220,104",,,,,,,,,,,0,0,0
Monster,18,"player_exp,enchantment_shard_green","230,109",,,,,,,,,,,0,0,0
Monster,19,"player_exp,enchantment_shard_green","240,114",,,,,,,,,,,0,0,0
Monster,20,"player_exp,enchantment_shard_green","250,119",,,,,,,,,,,0,0,0
Monster,21,"player_exp,enchantment_shard_green","260,124",,,,,,,,,,,0,0,0
Monster,22,"player_exp,enchantment_shard_green","270,129",,,,,,,,,,,0,0,0
Monster,23,"player_exp,enchantment_shard_green","280,134",,,,,,,,,,,0,0,0
Monster,24,"player_exp,enchantment_shard_green","290,139",,,,,,,,,,,0,0,0
Monster,25,"player_exp,enchantment_shard_green","300,144",,,,,,,,,,,0,0,0
Monster,26,"player_exp,enchantment_shard_green","310,149",,,,,,,,,,,0,0,0
Monster,27,"player_exp,enchantment_shard_green","320,154",,,,,,,,,,,0,0,0
Monster,28,"player_exp,enchantment_shard_green","330,159",,,,,,,,,,,0,0,0
Monster,29,"player_exp,enchantment_shard_green","340,164",,,,,,,,,,,0,0,0
Monster,30,"player_exp,enchantment_shard_green","350,169",,,,,,,,,,,0,0,0
Speed,1,"player_exp,enchantment_shard_red","60,24",,,,,,,,,,,0,0,0
Speed,2,"player_exp,enchantment_shard_red","70,29",,,,,,,,,,,0,0,0
Speed,3,"player_exp,enchantment_shard_red","80,34",,,,,,,,,,,0,0,0
Speed,4,"player_exp,enchantment_shard_red","90,39",,,,,,,,,,,0,0,0
Speed,5,"player_exp,enchantment_shard_red","100,44",,,,,,,,,,,0,0,0
Speed,6,"player_exp,enchantment_shard_red","110,49",,,,,,,,,,,0,0,0
Speed,7,"player_exp,enchantment_shard_red","120,54",,,,,,,,,,,0,0,0
Speed,8,"player_exp,enchantment_shard_red","130,59",,,,,,,,,,,0,0,0
Speed,9,"player_exp,enchantment_shard_red","140,64",,,,,,,,,,,0,0,0
Speed,10,"player_exp,enchantment_shard_red","150,69",,,,,,,,,,,0,0,0
Speed,11,"player_exp,enchantment_shard_red","160,74",,,,,,,,,,,0,0,0
Speed,12,"player_exp,enchantment_shard_red","170,79",,,,,,,,,,,0,0,0
Speed,13,"player_exp,enchantment_shard_red","180,84",,,,,,,,,,,0,0,0
Speed,14,"player_exp,enchantment_shard_red","190,89",,,,,,,,,,,0,0,0
Speed,15,"player_exp,enchantment_shard_red","200,94",,,,,,,,,,,0,0,0
Speed,16,"player_exp,enchantment_shard_red","210,99",,,,,,,,,,,0,0,0
Speed,17,"player_exp,enchantment_shard_red","220,104",,,,,,,,,,,0,0,0
Speed,18,"player_exp,enchantment_shard_red","230,109",,,,,,,,,,,0,0,0
Speed,19,"player_exp,enchantment_shard_red","240,114",,,,,,,,,,,0,0,0
Speed,20,"player_exp,enchantment_shard_red","250,119",,,,,,,,,,,0,0,0
Speed,21,"player_exp,enchantment_shard_red","260,124",,,,,,,,,,,0,0,0
Speed,22,"player_exp,enchantment_shard_red","270,129",,,,,,,,,,,0,0,0
Speed,23,"player_exp,enchantment_shard_red","280,134",,,,,,,,,,,0,0,0
Speed,24,"player_exp,enchantment_shard_red","290,139",,,,,,,,,,,0,0,0
Speed,25,"player_exp,enchantment_shard_red","300,144",,,,,,,,,,,0,0,0
Speed,26,"player_exp,enchantment_shard_red","310,149",,,,,,,,,,,0,0,0
Speed,27,"player_exp,enchantment_shard_red","320,154",,,,,,,,,,,0,0,0
Speed,28,"player_exp,enchantment_shard_red","330,159",,,,,,,,,,,0,0,0
Speed,29,"player_exp,enchantment_shard_red","340,164",,,,,,,,,,,0,0,0
Speed,30,"player_exp,enchantment_shard_red","350,169",,,,,,,,,,,0,0,0
Normal,1,,,1,gem,100,gem,100,gem,200,0.83,0.083,0.02,2000,40,100
Normal,2,,,1,gem,100,gem,100,gem,200,1.67,0.17,0.04,2400,48,110
Normal,3,,,1,gem,100,gem,100,gem,200,2.5,0.25,0.06,2800,56,120
Normal,4,,,1,gem,100,gem,100,gem,200,3.33,0.33,0.08,3200,64,130
Normal,5,,,1,gem,100,gem,100,gem,200,4.17,0.42,0.1,3600,72,140
Normal,6,,,1,gem,100,gem,100,gem,200,5,0.5,0.12,4000,80,150
Normal,7,,,1,gem,100,gem,100,gem,200,5.83,0.58,0.14,4400,88,160
Normal,8,,,1,gem,100,gem,100,gem,200,6.67,0.67,0.16,4800,96,170
Normal,9,,,1,gem,100,gem,100,gem,200,7.5,0.75,0.18,5200,104,180
Normal,10,,,1,gem,100,gem,100,gem,200,8.33,0.83,0.2,5600,112,190
Normal,11,,,1,gem,100,gem,100,gem,200,9.17,0.92,0.22,6000,120,200
Normal,12,,,1,gem,100,gem,100,gem,200,10,1,0.24,6400,128,210
Normal,13,,,1,gem,100,gem,100,gem,200,10.83,1.08,0.26,6800,136,220
Normal,14,,,1,gem,100,gem,100,gem,200,11.67,1.17,0.28,7200,144,230
Normal,15,,,1,gem,100,gem,100,gem,200,12.5,1.25,0.3,7600,152,240
Normal,16,,,1,gem,100,gem,100,gem,200,13.33,1.33,0.32,8000,160,250
Normal,17,,,1,gem,100,gem,100,gem,200,14.17,1.42,0.34,8400,168,260
Normal,18,,,1,gem,100,gem,100,gem,200,15,1.5,0.36,8800,176,270
Normal,19,,,1,gem,100,gem,100,gem,200,15.83,1.58,0.38,9200,184,280
Normal,20,,,1,gem,100,gem,100,gem,200,16.67,1.67,0.4,9600,192,290
Normal,21,,,1,gem,100,gem,100,gem,200,17.5,1.75,0.42,10000,200,300
Normal,22,,,1,gem,100,gem,100,gem,200,18.33,1.83,0.44,10400,208,310
Normal,23,,,1,gem,100,gem,100,gem,200,19.17,1.92,0.46,10800,216,320
Normal,24,,,1,gem,100,gem,100,gem,200,20,2,0.48,11200,224,330
Normal,25,,,1,gem,100,gem,100,gem,200,20.83,2.08,0.5,11600,232,340
Normal,26,,,1,gem,100,gem,100,gem,200,21.67,2.17,0.52,12000,240,350
Normal,27,,,1,gem,100,gem,100,gem,200,22.5,2.25,0.54,12400,248,360
Normal,28,,,1,gem,100,gem,100,gem,200,23.33,2.33,0.56,12800,256,370
Normal,29,,,1,gem,100,gem,100,gem,200,24.17,2.42,0.58,13200,264,380
Normal,30,,,1,gem,100,gem,100,gem,200,25,2.5,0.6,13600,272,390
Hard,1,,,1,gem,100,gem,100,gem,200,1.67,0.17,0.04,4000,80,200
Hard,2,,,1,gem,100,gem,100,gem,200,3.33,0.33,0.08,4800,96,220
Hard,3,,,1,gem,100,gem,100,gem,200,5,0.5,0.12,5600,112,240
Hard,4,,,1,gem,100,gem,100,gem,200,6.67,0.67,0.16,6400,128,260
Hard,5,,,1,gem,100,gem,100,gem,200,8.33,0.83,0.2,7200,144,280
Hard,6,,,1,gem,100,gem,100,gem,200,10,1,0.24,8000,160,300
Hard,7,,,1,gem,100,gem,100,gem,200,11.67,1.17,0.28,8800,176,320
Hard,8,,,1,gem,100,gem,100,gem,200,13.33,1.33,0.32,9600,192,340
Hard,9,,,1,gem,100,gem,100,gem,200,15,1.5,0.36,10400,208,360
Hard,10,,,1,gem,100,gem,100,gem,200,16.67,1.67,0.4,11200,224,380
Hard,11,,,1,gem,100,gem,100,gem,200,18.33,1.83,0.44,12000,240,400
Hard,12,,,1,gem,100,gem,100,gem,200,20,2,0.48,12800,256,420
Hard,13,,,1,gem,100,gem,100,gem,200,21.67,2.17,0.52,13600,272,440
Hard,14,,,1,gem,100,gem,100,gem,200,23.33,2.33,0.56,14400,288,460
Hard,15,,,1,gem,100,gem,100,gem,200,25,2.5,0.6,15200,304,480
Hard,16,,,1,gem,100,gem,100,gem,200,26.67,2.67,0.64,16000,320,500
Hard,17,,,1,gem,100,gem,100,gem,200,28.33,2.83,0.68,16800,336,520
Hard,18,,,1,gem,100,gem,100,gem,200,30,3,0.72,17600,352,540
Hard,19,,,1,gem,100,gem,100,gem,200,31.67,3.17,0.76,18400,368,560
Hard,20,,,1,gem,100,gem,100,gem,200,33.33,3.33,0.8,19200,384,580
Hard,21,,,1,gem,100,gem,100,gem,200,35,3.5,0.84,20000,400,600
Hard,22,,,1,gem,100,gem,100,gem,200,36.67,3.67,0.88,20800,416,620
Hard,23,,,1,gem,100,gem,100,gem,200,38.33,3.83,0.92,21600,432,640
Hard,24,,,1,gem,100,gem,100,gem,200,40,4,0.96,22400,448,660
Hard,25,,,1,gem,100,gem,100,gem,200,41.67,4.17,1,23200,464,680
Hard,26,,,1,gem,100,gem,100,gem,200,43.33,4.33,1.04,24000,480,700
Hard,27,,,1,gem,100,gem,100,gem,200,45,4.5,1.08,24800,496,720
Hard,28,,,1,gem,100,gem,100,gem,200,46.67,4.67,1.12,25600,512,740
Hard,29,,,1,gem,100,gem,100,gem,200,48.33,4.83,1.16,26400,528,760
Hard,30,,,1,gem,100,gem,100,gem,200,50,5,1.2,27200,544,780
